Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url
Senior Accountant & Business Advisor,"Fisher, PA","Charlotte, NC",28 days ago,2021-03-23,"Follow firm’s established accounting procedures and processes.
Identifies current and future client requirements by establishing and maintaining rapport with…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B0VM-lNyyMOgRBSh8dNvNAp2MpVfYzsoU-gmrPkwKC79XPNQtloLsKl2WA2DMIru1y9cAWTcWOW5as-QAGqM4HGiexTmRkgnrvGqVB5z9wizvb7b4mrCPvNPDylTwGwAqycyHjZuFI3QXWG2CC-951_1bMW4Umzq_fli7zh3UHgffbDUq_cIWyd33hY0YQxkRko9SHC2Fc0ZydkQ7lX8mIzFFc8rlVJlO9_zv9u1VZ3zeQNQHaL9Im2WzCU_irw5yB3GP0QoPaDfdq03F12vjEZ6l39yJIhot4fMvoJIvIRen0XbUWl0U28gYAFBs4tQZESmeAXFuPZpMTPxR7ojoyed8QYLbfDEIap5by7FIg6i0h317z6mdgx0_PIlsQ2CGkSQqZMkvBSJa2623y2IJssCQrdbUXc0OzfwphaICRR5cIYeLiZspKfAM01nUCfboKNnNuzFTVuaNdqpk41ojdOwp1hmE1glZKcm3i_HOQZQ==&p=0&fvj=1&vjs=3
"Senior Accountant - Sharp, Go Getter, Problem Solver",Forshaw Inc,"Charlotte, NC",18 days ago,2021-03-23,"Our Senior Accountant will be responsible for preparing, recording, analyzing and reporting accounting transactions and ensuring the integrity of accounting…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dbegx8NhvDP6uIOrS0xYhAlHErLaEjB9H72suGVMjKGA1uA2tT6CO_LyL5BpbG4TWxxtVR-UR-sZtRmnqz0pses5zdsQZoTljubX-J8MeBcv1Ol07Wvlt6nRmKcg5sBa7TYq2nYDhDMvAQdERVq6x8fICxxy-X-c18mzbxmoLKYjtCUm39PISMBHFNZMmvYT_PBt6XqjhWHxR5nBdJjbYqQ6vi8AjwClhYmTiUpxvECBpFZY97laGQji2vqVOLwEG63ddZolh60BTwOArEiqfvp3kpdu-BjtN_VHpeS66RNXpVR1h97zLQm4iZv6EmCI8yhwSHP8dyDKsEmhoyLtvyuhfIBlfeQQNbzdtyVnfBkbLaSwUA8UTLttGmAgFAk5ILYHrhLGeyzB3tGx1FljixEVzRiXBVzo6A9jlbmVxE8-ApEopgucLiV4uyXlJKESbUhSDZr84RtrqZnBnO5hnUco-mEWZFIlUrwINTaUFo-TDL5C-v36xIXlcc50Gkiho=&p=1&fvj=1&vjs=3
Senior Public Accountant,"Corliss & Solomon, PLLC","Charlotte, NC",1 day ago,2021-03-23,The position is listed as full-time and expects to average 40 hours per week (below the industry average of 50+) but does increase to around 45 hours leading up…,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdYl_lIfgjzXxgFWQFUBozhOqmN91OuC-YOI8PRz5lKdXBd9Aa8r1DkqvKWrezCXE-Tdo1625uV4dzFSqjADYGDtJFBOAf2JkMVHdsnUEaLaZSasdRfODZnbV8AJ4jg79kKKsIijgD9kKomVXV7G3eeuQk_rvfaoxVKJLyTGbQzc1nnVNPKSyZu1Iht23TdhuNww3LlSvDyOt_uZKA948xnzFf9rXLmzGzR4z-5bRtIDgMLz2Ks6aJHJqlMlzampeVITMuV3nYTmS4_9kGrmiNyZxDyBq4ZnspGP6iolKwqoTcGpHmAm5CRwoukWHsTAkbiMfU8-HxXbtL5xHTQX6_v7z_2aKm-20g4q5mzuCKLReFc-Y103n8noOjcuIgeJhqjyloL683TVECIoRtsnf5s19g99locbZJbHxt0YDrn_0EluUBgW1oiTwzbsopAqDgAV9mPyUZ3UWhTL4FtkZ-ctWDruOmkps=&p=2&fvj=1&vjs=3
Sr Investment Accountant (Real Estate Housing Sector),TIAA,"Charlotte, NC",1 day ago,2021-03-23,"Participate in new product launches, new investment acquisitions, and property dispositions.
Participate in new product launches and new investment acquisitions…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CJyH7m_Owcq399GZZnJYEIbQvVPxF7YAgEzwPyyYpr0CRZMDDp0B29GlEEc4ACqaAXik-vacfbrBoSeUM9vD6S7Zi0Fhun2KepaVEk1RiUJzIbQhgKIWmnBGM-PSK67xxYZmTVCbPWaglggmRppLAzIqry4MrvqmRZvz7TZUFhnyzOlObe6TW5HEDfZIOmX49MBpKtx3x7StfM7XsgGiaEd12te7spJqNfb_pP2aOsDYr-u0ZFhwlLIvqr2CCTQyWWTi7whZRUMSCQG9HSxR1QKQA4fATazcOOu4QkhofZFLPk98qo_1DaEy-Ppl10DOyUxt2s3tEbP4xJqAyRe4Q34hOdIJDnNG0qE4QjktCgePt8IA0aGd2mivSvqSLKLHPF5Z7GwPBdt1jovsgN3BfZbcLzXpt-bkzIbD55JFidL9VGdIkkO7tNmnuMmT9uMHwyZceg-G7BAdwMcQC9tREyZEh281wj1NoFY1ndfvuoeAHkAWwRMwi0&p=3&fvj=1&vjs=3
Senior Property Accountant,Accounting Principals,"Charlotte, NC",Just posted,2021-03-23,"Qualified candidates will have property accounting experience and experience managing at least 20 properties.
Multi-family property experience is preferred, but…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsVqxrTdu7Y-QW9OzdKlKlQspxjF7alEdxbzpbFOvg9aN63o7WvwNLo14eTozuTXELr4ZRCQ2FkbU9B9rp5IaFpJyHKbEgNHu3XOxx1FFxbR3L-FyeCjF0jaNsgbZrXWMquKeVsw_YyqxV2rtycIn1apU2cmaOF83Df8vuXJk10E5WY61W-19Drwy1faWoLIVWZBJVBwkSenpaDo7YeKkM1ocXaPeMlu-ctfsSmI2zuUxFSK0GQTRQMaPJHX1Ga6l_4L9_7l_y55xUwrFxvJY5DJus-HeQ3Xk5BugRip30iJS2B4LMRQYIIlFaMBO3HSzV6h21Ur5wcBkPfyPHejayD3EpSaKYWnQpH-kgEQa9KRj-dmni_kYW4Z6OKPhswA4JNUZAteIu_HawQMEdCap1f9gAxl-LkdonLSru_eDy4g5KTVQn-Vnv6bJL9KtMJl7tOpiOOhGASwsSGpJQHxzqiioxJn8FshowAsrwylt8WAB5SEq86LZstZhfSbDfUokMZTGGXvY1pv6lk_pZFAaK_Ovw-_drLAb3b_KVKC9mczijxTlXGfGF_OlUf6JDLbC_JUD00SkomNMNcvD_J34pIXyrCMBPruwtyemqXNOTbAAFvaVobfE-mHxzdQr6X5VTOOs_1YP5v9Y5Js3FUkF-CoTK6HjITZ1V3oLeBYVslhqPiY-tfzsSwSICUp1_AlFCpM6EcIiC1XW6LoemO0gNcKDmppS4Ejtil1p_FrOzDf1qvRlu1jzdI6gGrIos-CiRMnfThF9gbNTR1_F9_2Dh-vg9B4s5yMM0Ij0eBNcQVrXuKyj8DtaUylAfan-M7Aa3msbyabQqmrosPtwIMZ8Z0u0VenCdgyI=&p=4&fvj=0&vjs=3
Senior Accountant - Bookkeeper,Intuit,"Charlotte, NC",5 days ago,2021-03-23,"Experience: 5+ years domain experience (contingent upon domain).
Degree: 4 year degree preferred.
Credentials/Certifications: QB Pro Certification Required…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfXFn77crvZgnvd9ujP6o3WBi_2J7OgirwOlouEO48NaZ4gbh9hn6PUMF7J7rq0q3aC9I84o-oPe2e-DRMnSzcViPu-iYdqz1-LlfPfhT_i6Ojt4pbiwjoLv0JyDjSchcX91oLlOIi9q_qq36wgNHFthti3eGLqJ-7T9rADd4kpkEQMDsQJKuRlxI9aG4oQ4J2nK5khT9ebxzrMVFFggb5JAU05qYd4G95P8Z-i5DenKnM-hOTcx7JHFqfxYLgVffPBPTVzy9QCE5_dm8cRVzia1hlkCX6OMUm_V9aWlnhVW7cgnJllveXsz1Q94AzFvACxF14T_7ys6cwQtnrCAlVX5FifCdRYNXjn4Lc7WtV7IUAGeC9GFud8dc4XM9M_3v1VJdcihsJdgiX8XhocZxz&p=5&fvj=0&vjs=3
Senior Accountant,AccruePartners,"Charlotte, NC",6 days ago,2021-03-23,"Preparation of accounting schedules and reconciliations for Month end close.
High visibility role and the ability to make an immediate impact while liaising…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrDtb1o9W-TJ6-UCoSVuwUwxbwSqDqWcdYe7TqI2TtHo-RnmwJkhlmyqot8zBe1dEq9HkAr6tP5eAz8636p-dThg3ExUiz04yjSzu0I9b1cqm2g-5u6M5K3SiuOY2odiPupS-R4Olxq2w78NS-1_fZ5I1GGJ7blTzXslTkIPEL1pst-c3cagLyQS0Is9l6uwwyuikGGbGL1UJEgsLN-xlOGTzHDI6PXrkdxmfwee4j3H7-TEwBzV3n01zmIDFDE9lWhiyWxDLp0lfdbP3NvQojKgoGZE3Ny38Efq6833PLoQ77YIICKgLKla4ZELZxH9_3d4NJa8p-n4DRl0ffcvilLNpbG6X2NW9Hn5ODkKjAtYqjYaOHGzPlwBaQ80bl31IDA0LrMbQbWS8m8V_FemlGL4&p=6&fvj=0&vjs=3
Senior Accountant,Accounting Principals,"Charlotte, NC",30+ days ago,2021-03-23,"Accounting Principals is assisting a client in South Charlotte with their need for a Senior Accountant.
The right candidate would have a background in corporate…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsVqxrTdu7Y-QW9OzdKlKlQspxjF7alEdxbzpbFOvg9aN63o7WvwNLo14eTozuTXEyrXIusG9fTvSctvqn_BXEjU_1xlbozlpyxzmYDq-1YFWCipmGute-GHpgTZotavO-bYfKHgaLVQoaBC1PVySQzoHetdxObCUOD395Vuno-orpve66L1OMmuCiMAaZkiCLWlXSU1uO4ooQbHdUlf1KVOQOZB5ijFq9_272bCUG55Qcx5nr4mM3A4nX5BRqLhS2U-y34vUojKQSy-JmmMWuyp1yK_OwY9fOaTZ6eRDV1StHfBnVH6NRp3aNrzgS3mV1CJtJ9aHkn8QrjjZhAWfPFp4z1NH0GQNCmzkYjYgMU_9jych4l548EH-GZhoCErkBkATGVzW9HRuPPSxZrUluEuEWZpvzn1dbThGNccwjO11K46-xeQczeHi4Eg4WZ6Da6eRDYwOjV2P2aL359UU5ojlihfsQyEZp2iRE4MiCpq1aV61D0Ml4Z-Sg6eIRJeldfvkx5YZr7FlmHq83v3hAqJsWD7xe2_PncFh8zM1K6ZosREjQMB2AdBgbu8AVflZO6qSECWbTJWYC8gNLyjroDex24D0ANyW-goKHiVRi24EdeO_1k3AnZxJgXt2QLRMMf9VgPKJZDgULMWUzdV584c4SyZ0Wauj81B7-9TkyAzUXJFvbiz6Mn6j5MnwQMvrBV-BVxOc0vtoGXW-ln9yb5qJjlD6ks3RNPu14z0q5b-c91y67TCn81Pqu1dDiqq_PS1tss_yxHm9My40a6WGYEcQXfBYr5n3CIft4L6nGYS2t1H46sr2IjRfgINcTTXNj7bkadGZ0_lCl90QW_paW&p=7&fvj=0&vjs=3
Senior Accountant,Loop Recruiting,"Rock Hill, SC",7 days ago,2021-03-23,"Ability to meet communicated schedules and deadlines.
Complete journal entries as assigned by Controller.
Facilitate and complete monthly close procedures.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQdQJlvZJjyq-8REcGy8QEHv9898TsUTvCQL4JhNipXa5WWjbqnqF_hNeeQhHxxdw-eR-ElhgqroVYTVcgmQoJtPxpjdf-VI6iEcW-U0Ry2aUzJVza4-d09-msNIZb0Gql57tm06sCEYd3VXz8dlJMo73nF0buswnqgRLGaDwUoPPLw6DswHtYwnDbW3SrPl3xOn9k1QuYL5NGEiUhGeAByDRbyqbaAhkbU7oe-4LhRK7REHZ4sFv8JL8oGLCi7sKfvTNVhc0SXMYhE-h7zwx2vYBr-aBpOSQfAQjEWCV-J_tMHz_SOXWi9rvrqUapkXg5nKq_SB6vZSJ56_x5OqMl8GPbH518BVIOi-t-qzZcIW9Gw0floiOXJFvx7NwekKJA17nyZDLfPqyWHdy6NPSykf0hFLkRf5Yn0oaocSGCVJD9xvU5Ij7lefs7FhQ03qDClMhca_nT1U5l3NfAunnx&p=8&fvj=1&vjs=3
Senior Corporate Accountant $75-80k,Vaco,"Charlotte, NC",18 days ago,2021-03-23,"The Senior Accountant will be responsible for performing general ledger accounting, journal entries, account reconciliations, full month-end close cycle,…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6sFTzQP-LU59CJcmLRa9SsRsJpCHHYNM9tVmPzedh6xVq-fbXWyj4AvXZ-pB0buRKpxL-9yRiA3R5sFyfHAp5Zv21HS2R4rKcEolLS66phwz7RoM56zWEFeRIcvFvdVGBvGeRNazMxQDqEzd31NKO1O2lW8GUdkhj-UyHwr-dp9YaEPgE5mbLBYAYE2Girc14goVhQNCskSfp7_nFGpuDe1x_Vt1l2BBExexhX_OWkkaRNd9DRkUGdqhAMy1skkccjNWw4AuxnWxRJdkNUCWAVM5bWLqzxCYMmg2qzfoPJQ--bjcuJ759KypSek9frTqreoryPB42tCfGWftsdZP7wXklFCgmUlkSViOEptbjZpqBoMKUqcMX45GVv_b_pAE2WQMLR9w4lTD7iZASNzv7lVGBJvN1VlliQln0R7HdFmWGahbxz_ZCwFl_GNXT76i_A=&p=9&fvj=0&vjs=3
