,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
514,"BRIGHTON AVENUE SCHOOL30 North Brighton Avenue, Atlantic City, NJ, 08401",Public district,PK-5,346.0,10:1,Atlantic City Public School District,3,Below average,,1
560,"Aurora Quest K-8472 South Wheeling Street, Aurora, CO, 80012",Public district,K-8,599.0,21:1,Adams-Arapahoe 28j School District,9,Above average,,1
561,"Aurora Frontier K-83200 South Jericho Way, Aurora, CO, 80013",Public district,PK-8,697.0,21:1,Adams-Arapahoe 28j School District,8,Above average,,1
718,"Bay County PSA1110 State Street, Bay City, MI, 48706",Public charter,K-5,101.0,11:1,Bay County Psa,5,Average,,1
735,"Beaumont Isd Early College High S3395 Harrison Avenue, Beaumont, TX, 77706",Public district,9-12,127.0,,Beaumont Independent School District,7,Above average,,1
885,"Elysian 7-86416 Elysian Road, Billings, MT, 59101",Public district,7-8,85.0,11:1,Elysian Elementary School District,7,Above average,,1
897,"Will James 7-81200 30th Street West, Billings, MT, 59102",Public district,6-8,522.0,18:1,Billings Elementary School District,5,Average,,1
899,"Elder Grove 7-81532 South 64 St West, Billings, MT, 59106",Public district,6-8,200.0,20:1,Elder Grove Elementary School District,5,Average,,1
905,"Castle Rock 7-81441 Governors Boulevard, Billings, MT, 59105",Public district,6-8,582.0,16:1,Billings Elementary School District,4,Below average,,1
1235,"Gs Mickelson Middle School - 021801 12th Street South, Brookings, SD, 57006",Public district,6-8,796.0,15:1,Brookings School District 05-1,6,Average,,1
1236,"Hillcrest Elementary - 04304 15th Avenue, Brookings, SD, 57006",Public district,K-3,277.0,13:1,Brookings School District 05-1,5,Average,,1
1237,"Camelot Intermediate - 061401 15th Street South, Brookings, SD, 57006",Public district,4-5,576.0,15:1,Brookings School District 05-1,4,Below average,,1
1238,"Brookings High School - 01530 Elm Avenue, Brookings, SD, 57006",Public district,9-12,917.0,16:1,Brookings School District 05-1,4,Below average,,1
1240,"Medary Elementary - 05718 5th Street South, Brookings, SD, 57006",Public district,K-3,370.0,12:1,Brookings School District 05-1,3,Below average,,1
1306,"Arrow Academy - Save Our Streets C1700 Groesbeck Street, Bryan, TX, 77803",Public charter,K-5,94.0,10:1,Arrow Academy,3,Below average,,1
1318,"Frederick Olmsted 64 At 78874 Amherst Street, Buffalo, NY, 14216",Public district,PK-4,598.0,20:1,Buffalo City School District,7,Above average,,1
1326,"Frederick Olmsted 56319 Suffolk Street, Buffalo, NY, 14215",Public district,5-12,826.0,12:1,Buffalo City School District,6,Average,,1
1635,"Charlotte Engineering Early College-UNCC9000 Robert D. Snyder Road, Charlotte, NC, 28262",Public district,9-11,308.0,14:1,Charlotte-Mecklenburg School District,10,Top rated,,1
1718,"BACK OF THE YARDS IB HS2111 West 47th Street, Chicago, IL, 60609",Public district,9-12,1064.0,14:1,City Of Chicago School District 299,9,Above average,,1
1848,"Phoenix Village Academy Primary 212601 Shaker Boulevard, Cleveland, OH, 44120",Public charter,3-8,140.0,15:1,Hbcu Preparatory School 1 School District,6,Average,,1
1881,"COLLEGE VIEW H1300 George Bush Drive, College Station, TX, 77840",Public district,9-12,65.0,,College Station Independent School District,6,Average,,1
2113,"Windsor Park G/T4525 South Alameda Street, Corpus Christi, TX, 78412",Public district,1-5,589.0,16:1,Corpus Christi Independent School District,10,Top rated,,1
2229,"Mockingbird Elementary 5828 East Mockingbird Lane, Dallas, TX, 75206",Public district,K-5,651.0,15:1,Dallas Independent School District,9,Above average,,1
2235,"Uplift Infinity H S1825 Market Center Boulevard, Dallas, TX, 75207",Public charter,9-12,345.0,,Uplift Education,9,Above average,,1
2388,"Center For Academic Success #41415 F Avenue, Douglas, AZ, 85607",Public charter,5-8,255.0,50:1,Center For Academic Success Inc.,6,Average,,1
2390,"Center For Academic Success Â The #3919 East 3rd Street, Douglas, AZ, 85607",Public charter,K-4,229.0,41:1,Center For Academic Success Inc.,5,Average,,1
2395,"Center For Academic Success The #2510 G Avenue, Douglas, AZ, 85607",Public charter,7-12,160.0,18:1,Center For Academic Success Inc.,4,Below average,,1
2659,"Elko Grammar School #27th & Fir Street, Elko, NV, 89801",Public district,K-6,332.0,12:1,Elko County School District,6,Average,,1
2813,"Interior Distance Education Of Alaska (Idea)2157 Van Horn Road, Fairbanks, AK, 99701",Public district,PK-12,4236.0,127:1,Galena City School District,5,Average,,1
2823,"Fairbanks B.E.S.T.520 5th Avenue, Fairbanks, AK, 99707",Public district,K-12,292.0,69:1,Fairbanks North Star Borough School District,4,Below average,,1
3049,"Lee County Virtual Instruction Program (District Provided)2855 Colonial Boulevard, Fort Myers, FL, 33966",Public district,K-5,54.0,27:1,Lee,5,Average,,1
3143,"Tarrant Co College South/Fort Worth Collegiate High S100 North University Drive, Fort Worth, TX, 76107",Public district,9-12,255.0,16:1,Fort Worth Independent School District,8,Above average,,1
3172,"Poplar Grove K-42959 Del Rio Pike, Franklin, TN, 37069",Public district,PK-4,400.0,12:1,Franklin School District,6,Average,,1
3173,"Poplar Grove 5-82959 Del Rio Pike, Franklin, TN, 37069",Public district,5-8,359.0,13:1,Franklin School District,6,Average,,1
3201,"Alachua Eschool (Virtual Franchise)620 East University Avenue, Gainesville, FL, 32601",Public district,6-12,85.0,22:1,Alachua,4,Below average,,1
3332,"Aldo Leopold Community School K-8622 Eliza Street, Green Bay, WI, 54301",Public district,PK-8,587.0,16:1,Green Bay Area Public School District,7,Above average,,1
3353,"Red Smith K-82765 Sussex Road, Green Bay, WI, 54311",Public district,PK-8,894.0,14:1,Green Bay Area Public School District,4,Below average,,1
3367,"Middle College High At Nc A&T1601 East Market Street, Greensboro, NC, 27401",Public district,9-12,123.0,7:1,Guilford County School District,7,Above average,,1
3572,"CAPITAL AREA SCHOOL FOR THE AR150 Strawberry Street, Harrisburg, PA, 17101",Public charter,9-12,199.0,16:1,Capital Area School For The Arts Charter School,8,Above average,,1
3980,"Bailey Middle APAC1900 North State Street, Jackson, MS, 39202",Public district,6-8,387.0,14:1,Jackson Public School Dist,10,Top rated,,1
4264,"Elementary School #334910 Katy Creek Lane, Killeen, TX, 76549",Public district,PK-5,1141.0,16:1,Killeen Independent School District,5,Average,,1
4831,"Lima South Science-Technology Magnet K-8755 Saint Johns Avenue, Lima, OH, 45804",Public district,K-8,170.0,12:1,Lima City School District,7,Above average,,1
4938,"Cubberley K-83200 Monogram Avenue, Long Beach, CA, 90808",Public district,K-8,1004.0,26:1,Long Beach Unified School District,8,Above average,,1
4940,"Henry K-83720 Canehill Avenue, Long Beach, CA, 90808",Public district,K-5,846.0,30:1,Long Beach Unified School District,8,Above average,,1
5072,"T.C. Miller Elementary For Innovat.600 Mansfield Avenue, Lynchburg, VA, 24501",Public district,PK-5,246.0,12:1,Lynchburg City Public Schools,6,Average,,1
5077,"Paul Laurence Dunbar Mid. For Innov.1200 1208 Polk St, Lynchburg, VA, 24504",Public district,6-8,657.0,14:1,Lynchburg City Public Schools,5,Average,,1
5150,"The Founders Academy Charter School (El)5 Perimeter Road, Manchester, NH, 03103",Public charter,6-8,221.0,,The Founders Academy Charter School District,5,Average,,1
5356,"Pinecrest Academy (South Campus)15130 Southwest 80th Street, Miami, FL, 33193",Public charter,K-5,750.0,20:1,Miami-Dade,10,Top rated,,1
5406,"Hapa-Hmong Amer Peace Ac K3-124601 North 84th Street, Milwaukee, WI, 53225",Public charter,PK-12,1594.0,17:1,Milwaukee School District,6,Average,,1
5475,"Target Range 7-84095 South Avenue West, Missoula, MT, 59804",Public district,6-8,117.0,12:1,Target Range Elementary School District,6,Average,,1
5483,"Bonner 7-89045 Montana 200, Missoula, MT, 59802",Public district,7-8,88.0,8:1,Bonner Elementary School District,3,Below average,,1
5788,"Palmetto Academy Of Learning Motorsports (Palm)136 Rodeo Drive, Myrtle Beach, SC, 29579",Public charter,9-12,115.0,12:1,Horry 01 School District,2,Below average,,1
5840,"Academy for Science and Design Charter (M)486 Amherst Street, Nashua, NH, 03063",Public charter,6-8,300.0,19:1,Academy For Science And Design Charter School,8,Above average,,1
5848,"Academy For Science And Design Charter (H)486 Amherst Street, Nashua, NH, 03063",Public charter,9-12,220.0,19:1,Academy For Science And Design Charter School,4,Below average,,1
