,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
0,"10/10Top ratedAkron Early College High School2 awardsAwards & BadgesCollege Success Award2018, 2019See all winners in Ohio225 South Main Street, Akron, OH, 44308 Homes for sale",Public district,9-12,384.0,34:1,8 reviews,Akron City School District
1,"9/10Above averageRevere Middle School3195 Spring Valley Road, Akron, OH, 44333 Homes for sale",Public district,6-8,624.0,13:1,1 review,Revere Local School District
2,"8/10Above averageArrowhead Primary Elementary School1600 Raleigh Boulevard, Akron, OH, 44321 Homes for sale",Public district,K-4,345.0,20:1,6 reviews,Copley-Fairlawn City School District
3,"8/10Above averageManchester Middle School760 West Nimisila Road, Akron, OH, 44319 Homes for sale",Public district,5-8,387.0,16:1,2 reviews,Manchester Local School District
4,"8/10Above averageNolley Elementary School6285 Renninger Rd, Akron, OH, 44319 Homes for sale",Public district,K-4,483.0,17:1,2 reviews,Manchester Local School District
5,"8/10Above averageBath Elementary School1246 North Cleveland Massillon Road, Akron, OH, 44333 Homes for sale",Public district,4-5,476.0,13:1,2 reviews,Revere Local School District
6,"7/10Above averageAkron Stem High School123 South Forge Street, Akron, OH, 44308 Homes for sale",Public district,9-12,329.0,17:1,No reviews yet,Akron City School District
7,"7/10Above averageCopley High School3 awardsAwards & BadgesCollege Success Award2018, 2019, 2020See all winners in Ohio3807 Ridgewood Road, Akron, OH, 44321 Homes for sale",Public district,9-12,1031.0,14:1,13 reviews,Copley-Fairlawn City School District
8,"7/10Above averageTurkeyfoot Elementary School3089 Manchester Road, Akron, OH, 44319 Homes for sale",Public district,K-4,603.0,15:1,5 reviews,Coventry Local School District
9,"7/10Above averageWindemere Elementary School2283 Windemere Avenue, Akron, OH, 44312 Homes for sale",Public district,K-5,293.0,14:1,2 reviews,Akron City School District
10,"6/10AverageCoventry Middle School3257 Cormany Road, Akron, OH, 44319 Homes for sale",Public district,5-8,665.0,15:1,6 reviews,Coventry Local School District
11,"6/10AverageSchrop Intermediate School2215 Pickle Road, Akron, OH, 44312 Homes for sale",Public district,4-6,543.0,14:1,2 reviews,Springfield Local School District
12,"6/10AverageNational Inventors Hall Of Fame School Center For199 South Broadway Street, Akron, OH, 44308 Homes for sale",Public district,5-8,388.0,15:1,No reviews yet,Akron City School District
13,"5/10AverageJudith A Resnik Community Learning Center65 North Meadowcroft Drive, Akron, OH, 44313 Homes for sale",Public district,K-5,383.0,14:1,3 reviews,Akron City School District
14,"5/10AverageFirestone High School2 awardsAwards & BadgesCollege Success Award2018, 2019See all winners in Ohio470 Castle Blvd., Akron, OH, 44313 Homes for sale",Public district,9-12,1282.0,17:1,10 reviews,Akron City School District
15,"5/10AverageSam Salem Community Learning Center1222 West Waterloo Road, Akron, OH, 44314 Homes for sale",Public district,K-5,350.0,10:1,2 reviews,Akron City School District
16,"5/10AverageManchester High School2 awardsAwards & BadgesCollege Success Award2018, 2019See all winners in Ohio437 West Nimisila Road, Akron, OH, 44319 Homes for sale",Public district,9-12,459.0,16:1,5 reviews,Manchester Local School District
17,"5/10AverageSpringfield High School1880 Canton Road, Akron, OH, 44312 Homes for sale",Public district,7-12,999.0,15:1,4 reviews,Springfield Local School District
18,"5/10AverageRimer Community Learning Center2370 Manchester Road, Akron, OH, 44314 Homes for sale",Public district,K-5,306.0,13:1,2 reviews,Akron City School District
19,"4/10Below averageFindley Community Learning Center65 West Tallmadge Avenue, Akron, OH, 44310 Homes for sale",Public district,K-5,614.0,13:1,No reviews yet,Akron City School District
20,"4/10Below averageBarber Community Learning Center665 Garry Road, Akron, OH, 44305 Homes for sale",Public district,K-6,304.0,11:1,2 reviews,Akron City School District
21,"4/10Below averageHatton Elementary School1933 Baker Avenue, Akron, OH, 44312 Homes for sale",Public district,K-5,517.0,17:1,4 reviews,Akron City School District
22,"4/10Below averageHill Community Learning Center1060 East Archwood Avenue, Akron, OH, 44306 Homes for sale",Public district,K-6,316.0,13:1,No reviews yet,Akron City School District
23,"4/10Below averageKing Elementary School805 Memorial Parkway, Akron, OH, 44303 Homes for sale",Public district,K-5,444.0,20:1,6 reviews,Akron City School District
24,"4/10Below averageSummit Academy Middle School-Akron464 South Hawkins Avenue, Akron, OH, 44320 Homes for sale",Public charter,6-8,69.0,4:1,1 review,Summit Academy Middle School-Akron
0,"10/10Top ratedRobert A. Cross Middle Magnet324 Lockett Station Road, Albany, GA, 31721 Homes for sale",Public district,6-8,594.0,21:1,7 reviews,Dougherty County School District
1,"7/10Above averageLincoln Elementary Magnet School518 West Society Avenue, Albany, GA, 31701 Homes for sale",Public district,K-5,654.0,20:1,9 reviews,Dougherty County School District
2,"6/10AverageLake Park Elementary School605 Meadowlark Drive, Albany, GA, 31707 Homes for sale",Public district,PK-5,566.0,19:1,4 reviews,Dougherty County School District
3,"5/10AverageRadium Springs Elementary School2400 Roxanna Road, Albany, GA, 31705 Homes for sale",Public district,PK-5,552.0,18:1,4 reviews,Dougherty County School District
4,"5/10AverageInternational Studies Elementary Charter School2237 Cutts Drive, Albany, GA, 31705 Homes for sale",Public charter,K-5,426.0,14:1,2 reviews,Dougherty County School District
5,"4/10Below averageLamar Reese School Of The Arts1215 Lily Pond Road, Albany, GA, 31701 Homes for sale",Public district,K-5,511.0,18:1,2 reviews,Dougherty County School District
6,"4/10Below averageWestover High School1 awardAwards & BadgesCollege Success Award2019See all winners in Georgia2600 Partridge Drive, Albany, GA, 31707 Homes for sale",Public district,9-12,1396.0,22:1,3 reviews,Dougherty County School District
7,"4/10Below averageSherwood Acres Elementary School2201 Doncaster Drive, Albany, GA, 31707 Homes for sale",Public district,PK-5,736.0,18:1,4 reviews,Dougherty County School District
