,School,Score,Rating,Address
0,Akron Early College High School,Top rated,10/10,"225 South Main Street, Akron, OH, 44308"
1,Revere Middle School,Above average,9/10,"3195 Spring Valley Road, Akron, OH, 44333"
2,Arrowhead Primary Elementary School,Above average,8/10,"1600 Raleigh Boulevard, Akron, OH, 44321"
3,Manchester Middle School,Above average,8/10,"760 West Nimisila Road, Akron, OH, 44319"
4,Nolley Elementary School,Above average,8/10,"6285 Renninger Rd, Akron, OH, 44319"
5,Bath Elementary School,Above average,8/10,"1246 North Cleveland Massillon Road, Akron, OH, 44333"
6,Akron Stem High School,Above average,7/10,"123 South Forge Street, Akron, OH, 44308"
7,Copley High School,Above average,7/10,"3807 Ridgewood Road, Akron, OH, 44321"
8,Turkeyfoot Elementary School,Above average,7/10,"3089 Manchester Road, Akron, OH, 44319"
9,Windemere Elementary School,Above average,7/10,"2283 Windemere Avenue, Akron, OH, 44312"
10,Coventry Middle School,Average,6/10,"3257 Cormany Road, Akron, OH, 44319"
11,Schrop Intermediate School,Average,6/10,"2215 Pickle Road, Akron, OH, 44312"
12,National Inventors Hall Of Fame School Center For,Average,6/10,"199 South Broadway Street, Akron, OH, 44308"
13,Judith A Resnik Community Learning Center,Average,5/10,"65 North Meadowcroft Drive, Akron, OH, 44313"
14,Firestone High School,Average,5/10,"470 Castle Blvd., Akron, OH, 44313"
15,Sam Salem Community Learning Center,Average,5/10,"1222 West Waterloo Road, Akron, OH, 44314"
16,Manchester High School,Average,5/10,"437 West Nimisila Road, Akron, OH, 44319"
17,Springfield High School,Average,5/10,"1880 Canton Road, Akron, OH, 44312"
18,Rimer Community Learning Center,Average,5/10,"2370 Manchester Road, Akron, OH, 44314"
19,Findley Community Learning Center,Below average,4/10,"65 West Tallmadge Avenue, Akron, OH, 44310"
20,Barber Community Learning Center,Below average,4/10,"665 Garry Road, Akron, OH, 44305"
21,Hatton Elementary School,Below average,4/10,"1933 Baker Avenue, Akron, OH, 44312"
22,Hill Community Learning Center,Below average,4/10,"1060 East Archwood Avenue, Akron, OH, 44306"
23,King Elementary School,Below average,4/10,"805 Memorial Parkway, Akron, OH, 44303"
24,Summit Academy Middle School-Akron,Below average,4/10,"464 South Hawkins Avenue, Akron, OH, 44320"
25,Akron Early College High School,Top rated,10/10,"225 South Main Street, Akron, OH, 44308"
26,Revere Middle School,Above average,9/10,"3195 Spring Valley Road, Akron, OH, 44333"
27,Arrowhead Primary Elementary School,Above average,8/10,"1600 Raleigh Boulevard, Akron, OH, 44321"
28,Manchester Middle School,Above average,8/10,"760 West Nimisila Road, Akron, OH, 44319"
