,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
0,Bethlehem Christian Pre-School,2/10,Below average,"1210 East 4th Street, Bethlehem, PA, 18015",Public district,PK-5,513,13:1,Bethlehem Area School District
1,Hanover El School,8/10,Above average,"3890 Jacksonville Road, Bethlehem, PA, 18017",Public district,K-5,244,15:1,Bethlehem Area School District
2,Calypso El School,7/10,Above average,"1021 Calypso Avenue, Bethlehem, PA, 18018",Public district,PK-5,243,13:1,Bethlehem Area School District
3,Lehigh Valley Charter High School for the Arts,7/10,Above average,"321 East 3rd Street, Bethlehem, PA, 18018",Public charter,9-12,627,8:1,Lehigh Valley Charter High School For The Arts
4,Thomas Jefferson El School,6/10,Average,"404 East North Street, Bethlehem, PA, 18018",Public district,K-5,238,13:1,Bethlehem Area School District
5,Lehigh Valley Academy Regional Cs,6/10,Average,"1560 Valley Center Parkway, Bethlehem, PA, 18017",Public charter,K-12,1719,14:1,Lehigh Valley Academy Regional Cs
6,Lincoln El School,5/10,Average,"1260 Gresham Street, Bethlehem, PA, 18017",Public district,K-5,339,13:1,Bethlehem Area School District
7,Clearview El School,5/10,Average,"2121 Abington Road, Bethlehem, PA, 18018",Public district,K-5,353,14:1,Bethlehem Area School District
8,Miller Heights El School,5/10,Average,"3605 Allen Street, Bethlehem, PA, 18020",Public district,K-5,419,16:1,Bethlehem Area School District
9,Northeast Middle School,5/10,Average,"1170 Fernwood Street, Bethlehem, PA, 18018",Public district,6-8,786,13:1,Bethlehem Area School District
10,Asa Packer El School,5/10,Average,"1650 Kenwood Drive, Bethlehem, PA, 18017",Public district,K-5,338,15:1,Bethlehem Area School District
11,James Buchanan El School,4/10,Below average,"1621 Catasauqua Road, Bethlehem, PA, 18018",Public district,K-5,290,14:1,Bethlehem Area School District
12,Governor Wolf El School,4/10,Below average,"1920 Butztown Road, Bethlehem, PA, 18017",Public district,K-5,447,16:1,Bethlehem Area School District
13,Marvine El School,4/10,Below average,"1425 Livingston Street, Bethlehem, PA, 18017",Public district,PK-5,323,12:1,Bethlehem Area School District
14,Nitschmann Middle School,4/10,Below average,"1002 West Union Blvd, Bethlehem, PA, 18018",Public district,6-8,808,14:1,Bethlehem Area School District
15,Freedom High School,4/10,Below average,"3149 Chester Avenue, Bethlehem, PA, 18020",Public district,9-12,1926,18:1,Bethlehem Area School District
16,Lehigh Valley Dual Language Charter School,4/10,Below average,"675 East Broad Street, Bethlehem, PA, 18018",Public charter,K-8,459,17:1,Lehigh Valley Dual Language Charter School
