Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
0,Jones College Prep High School,10,Top rated,"700 South State Street, Chicago, IL, 60605",Public district,9-12,1861.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
1,Northside College Preparatory High School,10,Top rated,"5501 North Kedzie Avenue, Chicago, IL, 60625",Public district,9-12,1061.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
2,Payton College Preparatory High School,10,Top rated,"1034 North Wells Street, Chicago, IL, 60610",Public district,9-12,1073.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
3,Devry Advantage Academy High School,10,Top rated,"3300 North Campbell Avenue, Chicago, IL, 60618",Public district,11-12,193.0,18:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
4,Westinghouse High School,9,Above average,"3223 West Franklin Boulevard, Chicago, IL, 60624",Public district,9-12,1192.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
5,Chicago Bulls College Prep,9,Above average,"2040 W. Adams St., Chicago, IL, 60612",Public charter,9-12,1136.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
6,UIC College Prep,9,Above average,"1231 S. Damen Ave., Chicago, IL, 60608",Public charter,9-12,939.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
7,King College Prep High School,9,Above average,"4445 South Drexel Boulevard, Chicago, IL, 60653",Public district,9-12,599.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
8,BACK OF THE YARDS IB HS,9,Above average,"2111 West 47th Street, Chicago, IL, 60609",Public district,9-12,1064.0,14:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
9,Hancock College Preparatory High School,9,Above average,"4034 West 56th Street, Chicago, IL, 60629",Public district,9-12,967.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
