,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
0,Jones College Prep High School,10/10,Top rated,"700 South State Street, Chicago, IL, 60605",Public district,9-12,1861,17:1,City Of Chicago School District 299
1,Northside College Preparatory High School,10/10,Top rated,"5501 North Kedzie Avenue, Chicago, IL, 60625",Public district,9-12,1061,16:1,City Of Chicago School District 299
2,Payton College Preparatory High School,10/10,Top rated,"1034 North Wells Street, Chicago, IL, 60610",Public district,9-12,1073,15:1,City Of Chicago School District 299
3,Devry Advantage Academy High School,10/10,Top rated,"3300 North Campbell Avenue, Chicago, IL, 60618",Public district,11-12,193,18:1,City Of Chicago School District 299
4,Westinghouse High School,9/10,Above average,"3223 West Franklin Boulevard, Chicago, IL, 60624",Public district,9-12,1192,16:1,City Of Chicago School District 299
5,Chicago Bulls College Prep,9/10,Above average,"2040 W. Adams St., Chicago, IL, 60612",Public charter,9-12,1136,19:1,City Of Chicago School District 299
6,UIC College Prep,9/10,Above average,"1231 S. Damen Ave., Chicago, IL, 60608",Public charter,9-12,939,19:1,City Of Chicago School District 299
7,King College Prep High School,9/10,Above average,"4445 South Drexel Boulevard, Chicago, IL, 60653",Public district,9-12,599,15:1,City Of Chicago School District 299
8,BACK OF THE YARDS IB HS,9/10,Above average,"2111 West 47th Street, Chicago, IL, 60609",Public district,9-12,1064,14:1,City Of Chicago School District 299
9,Hancock College Preparatory High School,9/10,Above average,"4034 West 56th Street, Chicago, IL, 60629",Public district,9-12,967,17:1,City Of Chicago School District 299
10,Chicago High School For Agricult Sciences,9/10,Above average,"3857 West 111th Street, Chicago, IL, 60655",Public district,9-12,718,16:1,City Of Chicago School District 299
11,Lenart Elementary Regional Gifted Center,9/10,Above average,"8101 South La Salle Street, Chicago, IL, 60620",Public district,PK-8,284,18:1,City Of Chicago School District 299
12,Phoenix Military Academy High School,9/10,Above average,"145 South Campbell Avenue, Chicago, IL, 60612",Public district,9-12,532,17:1,City Of Chicago School District 299
13,Columbus Elementary School,8/10,Above average,"1003 North Leavitt Street, Chicago, IL, 60622",Public district,PK-8,285,19:1,City Of Chicago School District 299
14,CICS Northtown,8/10,Above average,"3900 W. Peterson, Chicago, IL, 60659",Public charter,9-12,917,14:1,City Of Chicago School District 299
15,Walt Disney Magnet School,8/10,Above average,"4140 North Marine Drive, Chicago, IL, 60613",Public district,PK-8,1572,19:1,City Of Chicago School District 299
16,Chicago High School For The Arts,8/10,Above average,"2714 West Augusta Boulevard, Chicago, IL, 60622",Public district,9-12,612,14:1,City Of Chicago School District 299
17,Goode Stem Academy High School,8/10,Above average,"7651 South Homan Avenue, Chicago, IL, 60652",Public district,9-12,903,15:1,City Of Chicago School District 299
18,Ebinger Elementary School,8/10,Above average,"7350 West Pratt Avenue, Chicago, IL, 60631",Public district,K-8,831,20:1,City Of Chicago School District 299
19,Golder College Prep,8/10,Above average,"1454 W. Superior St., Chicago, IL, 60642",Public charter,9-12,662,19:1,City Of Chicago School District 299
20,Muchin College Prep,8/10,Above average,"1 N. State St., Chicago, IL, 60602",Public charter,9-12,956,19:1,City Of Chicago School District 299
21,Haines Elementary School,8/10,Above average,"247 West 23rd Place, Chicago, IL, 60616",Public district,PK-8,687,19:1,City Of Chicago School District 299
22,Hawthorne Elementary Scholastic Academy,8/10,Above average,"3319 North Clifton Avenue, Chicago, IL, 60657",Public district,K-8,567,16:1,City Of Chicago School District 299
23,Healy Elementary School,8/10,Above average,"3010 South Parnell Avenue, Chicago, IL, 60616",Public district,PK-8,1420,18:1,City Of Chicago School District 299
24,Keller Elementary Gifted Magnet School,8/10,Above average,"3020 West 108th Street, Chicago, IL, 60655",Public district,1-8,242,19:1,City Of Chicago School District 299
25,Poe Elementary Classical School,8/10,Above average,"10538 South Langley Avenue, Chicago, IL, 60628",Public district,K-6,208,16:1,City Of Chicago School District 299
