,0
0,Akron Early College High School
1,Revere Middle School
2,Arrowhead Primary Elementary School
3,Manchester Middle School
4,Nolley Elementary School
5,Bath Elementary School
6,Akron Stem High School
7,Copley High School
8,Turkeyfoot Elementary School
9,Windemere Elementary School
10,Coventry Middle School
11,Schrop Intermediate School
12,National Inventors Hall Of Fame School Center For
13,Judith A Resnik Community Learning Center
14,Firestone High School
15,Sam Salem Community Learning Center
16,Manchester High School
17,Springfield High School
18,Rimer Community Learning Center
19,Findley Community Learning Center
20,Barber Community Learning Center
21,Hatton Elementary School
22,Hill Community Learning Center
23,King Elementary School
24,Summit Academy Middle School-Akron
25,Akron Early College High School
26,Revere Middle School
27,Arrowhead Primary Elementary School
28,Manchester Middle School
29,Nolley Elementary School
30,Bath Elementary School
31,Akron Stem High School
32,Copley High School
33,Turkeyfoot Elementary School
34,Windemere Elementary School
35,Coventry Middle School
36,Schrop Intermediate School
37,National Inventors Hall Of Fame School Center For
38,Judith A Resnik Community Learning Center
39,Firestone High School
40,Sam Salem Community Learning Center
41,Manchester High School
42,Springfield High School
43,Rimer Community Learning Center
44,Findley Community Learning Center
45,Barber Community Learning Center
46,Hatton Elementary School
47,Hill Community Learning Center
48,King Elementary School
49,Summit Academy Middle School-Akron
50,Betty Jane Community Learning Center
51,Litchfield Middle School
52,Mason Community Learning Center
53,North High School
54,Pfeiffer Elementary School
55,Portage Path Community Learning Center
56,Helen Arnold Community Learning Center
57,Ritzman Community Learning Center
58,Robinson Community Learning Center
59,Seiberling Elementary School
60,Miller-South Visual Performing Arts
61,Akros Middle School
62,Greater Summit County Early Learning Center
63,Akron Preparatory school
64,University Academy
65,Main Street Academy
66,Imagine Leadership Academy
67,STEAM Academy of Akron
68,Firestone Park Elementary School
69,Forest Hill Community Learning Center
70,Glover Community Leanring Center
71,Harris Elementary School
72,Summit Academy Community School For Alt Learners O
73,Hyre Middle School
74,Coventry High School
75,Betty Jane Community Learning Center
76,Litchfield Middle School
77,Mason Community Learning Center
78,North High School
79,Pfeiffer Elementary School
80,Portage Path Community Learning Center
81,Helen Arnold Community Learning Center
82,Ritzman Community Learning Center
83,Robinson Community Learning Center
84,Seiberling Elementary School
85,Miller-South Visual Performing Arts
86,Akros Middle School
87,Greater Summit County Early Learning Center
88,Akron Preparatory school
89,University Academy
90,Main Street Academy
91,Imagine Leadership Academy
92,STEAM Academy of Akron
93,Firestone Park Elementary School
94,Forest Hill Community Learning Center
95,Glover Community Leanring Center
96,Harris Elementary School
97,Summit Academy Community School For Alt Learners O
98,Hyre Middle School
99,Coventry High School
100,Roosevelt Elementary School
101,Innes Community Learning Center
102,Jennings Community Learning Center
103,McEbright Elementary School
104,Summit Academy Secondary - Akron
105,Schumacher Academy Elementary School
106,Case Elementary School
107,Voris Community Learning Center
108,Ellet High School
109,Steel Academy
110,Hope Academy University
111,Garfield High School
112,"Edge Academy, The"
113,Life Skills Center of Akron
114,Young Elementary School
115,Leggett Community Learning Center
116,Life Skills Center Of North Akron
117,Buchtel High School
118,Crouse Community Learning Center
119,East Community Learning Center
120,Early Childhood Center
121,Brightside Academy
122,First Grace Amos Child Care Center
123,All About Kids Day Care Center
124,Joshua Child Care Center & Cdc West
125,Roosevelt Elementary School
126,Innes Community Learning Center
127,Jennings Community Learning Center
128,McEbright Elementary School
129,Summit Academy Secondary - Akron
130,Schumacher Academy Elementary School
131,Case Elementary School
132,Voris Community Learning Center
133,Ellet High School
134,Steel Academy
135,Hope Academy University
136,Garfield High School
137,"Edge Academy, The"
138,Life Skills Center of Akron
139,Young Elementary School
140,Leggett Community Learning Center
141,Life Skills Center Of North Akron
142,Buchtel High School
143,Crouse Community Learning Center
144,East Community Learning Center
145,Early Childhood Center
146,Brightside Academy
147,First Grace Amos Child Care Center
148,All About Kids Day Care Center
149,Joshua Child Care Center & Cdc West
150,Wonder World Infant Dcc
151,Little's Academy Child Care Center
152,Kid's Academy 2
153,Kinder Garden Montessori
154,Kindercare Learning Center-Fairlawn
155,Above & Beyond Early Cdc
156,Abacus Infant/Toddler Center
157,Here For You Cdc-Manchester
158,Firestone Park Br Ymca-Sacc Yo
159,Kinder Care Learning Center #1677
160,Ymca Firestone Pk Child Care Center-Voris
161,Ymca After School Care-Hatton
162,Ymca Canal Sq Sacc-Betty Jan
163,Ymca Sacc-Forest Hill
164,Arlington Cdc Head Start
165,Ellet Community Center
166,Westminster Ymca Child Care
167,Waterloo Cdc
168,Mckinley Early Childhood Center
169,Cedar Early Head Start
170,Firestone Park Ymca Family E
171,University Of Akron Head Start
172,Infokids Early Learning Center
173,Another Covering Cdc
174,Scope Pre-School Ii
175,Wonder World Infant Dcc
176,Little's Academy Child Care Center
177,Kid's Academy 2
178,Kinder Garden Montessori
179,Kindercare Learning Center-Fairlawn
180,Above & Beyond Early Cdc
181,Abacus Infant/Toddler Center
182,Here For You Cdc-Manchester
183,Firestone Park Br Ymca-Sacc Yo
184,Kinder Care Learning Center #1677
185,Ymca Firestone Pk Child Care Center-Voris
186,Ymca After School Care-Hatton
187,Ymca Canal Sq Sacc-Betty Jan
188,Ymca Sacc-Forest Hill
189,Arlington Cdc Head Start
190,Ellet Community Center
191,Westminster Ymca Child Care
192,Waterloo Cdc
193,Mckinley Early Childhood Center
194,Cedar Early Head Start
195,Firestone Park Ymca Family E
196,University Of Akron Head Start
197,Infokids Early Learning Center
198,Another Covering Cdc
199,Scope Pre-School Ii
200,Nordonia Hills Ymca Day Care
201,Lake Anna Ymca Day Care
202,Ymca Sacc Pgrm-Highland
203,Green Family Ymca Dc-Green
204,Firestone Park Ymca Dc-Voris
205,Early Learning Center-Belden
206,Colonial Prep Academy
207,St Vincent-St Mary High School
208,St Vincent Depaul Elementary School
209,St. Francis DeSales School
210,St. Anthony of Padua Elementary School
211,Our Lady Of The Elms High School
212,Our Lady Of The Elms Elementary School
213,North Akron Catholic School
214,Archbishop Hoban High School
215,St Paul School
216,St Matthew Parish School
217,St. Mary School
218,The Lippman School
219,East Akron YMCA Phoenix Program
220,Arlington Christian Academy
221,Emmanuel Christian Academy
222,Spring Garden Waldorf School
223,Bettes Elementary School
224,Chapel Hill Christian School-Green Campus
225,Nordonia Hills Ymca Day Care
226,Lake Anna Ymca Day Care
227,Ymca Sacc Pgrm-Highland
228,Green Family Ymca Dc-Green
229,Firestone Park Ymca Dc-Voris
230,Early Learning Center-Belden
231,Colonial Prep Academy
232,St Vincent-St Mary High School
233,St Vincent Depaul Elementary School
234,St. Francis DeSales School
235,St. Anthony of Padua Elementary School
236,Our Lady Of The Elms High School
237,Our Lady Of The Elms Elementary School
238,North Akron Catholic School
239,Archbishop Hoban High School
240,St Paul School
241,St Matthew Parish School
242,St. Mary School
243,The Lippman School
244,East Akron YMCA Phoenix Program
245,Arlington Christian Academy
246,Emmanuel Christian Academy
247,Spring Garden Waldorf School
248,Bettes Elementary School
249,Chapel Hill Christian School-Green Campus
250,Kenmore High School
251,Kent Middle School
252,Akron Digital Academy
