,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
0,Akron Early College High School,Public district,9-12,384.0,34:1,Akron City School District,10,Top rated,"225 South Main Street, Akron, OH, 44308",4
1,Revere Middle School,Public district,6-8,624.0,13:1,Revere Local School District,9,Above average,"3195 Spring Valley Road, Akron, OH, 44333",2
2,Arrowhead Primary Elementary School,Public district,K-4,345.0,20:1,Copley-Fairlawn City School District,8,Above average,"1600 Raleigh Boulevard, Akron, OH, 44321",2
3,Manchester Middle School,Public district,5-8,387.0,16:1,Manchester Local School District,8,Above average,"760 West Nimisila Road, Akron, OH, 44319",2
4,Nolley Elementary School,Public district,K-4,483.0,17:1,Manchester Local School District,8,Above average,"6285 Renninger Rd, Akron, OH, 44319",2
5,Bath Elementary School,Public district,4-5,476.0,13:1,Revere Local School District,8,Above average,"1246 North Cleveland Massillon Road, Akron, OH, 44333",2
6,Akron Stem High School,Public district,9-12,329.0,17:1,Akron City School District,7,Above average,"123 South Forge Street, Akron, OH, 44308",2
7,Copley High School,Public district,9-12,1031.0,14:1,Copley-Fairlawn City School District,7,Above average,"3807 Ridgewood Road, Akron, OH, 44321",4
8,Turkeyfoot Elementary School,Public district,K-4,603.0,15:1,Coventry Local School District,7,Above average,"3089 Manchester Road, Akron, OH, 44319",2
9,Windemere Elementary School,Public district,K-5,293.0,14:1,Akron City School District,7,Above average,"2283 Windemere Avenue, Akron, OH, 44312",2
10,Coventry Middle School,Public district,5-8,665.0,15:1,Coventry Local School District,6,Average,"3257 Cormany Road, Akron, OH, 44319",2
11,Schrop Intermediate School,Public district,4-6,543.0,14:1,Springfield Local School District,6,Average,"2215 Pickle Road, Akron, OH, 44312",2
12,National Inventors Hall Of Fame School Center For,Public district,5-8,388.0,15:1,Akron City School District,6,Average,"199 South Broadway Street, Akron, OH, 44308",2
13,Judith A Resnik Community Learning Center,Public district,K-5,383.0,14:1,Akron City School District,5,Average,"65 North Meadowcroft Drive, Akron, OH, 44313",2
14,Firestone High School,Public district,9-12,1282.0,17:1,Akron City School District,5,Average,"470 Castle Blvd., Akron, OH, 44313",4
15,Sam Salem Community Learning Center,Public district,K-5,350.0,10:1,Akron City School District,5,Average,"1222 West Waterloo Road, Akron, OH, 44314",2
16,Manchester High School,Public district,9-12,459.0,16:1,Manchester Local School District,5,Average,"437 West Nimisila Road, Akron, OH, 44319",4
17,Springfield High School,Public district,7-12,999.0,15:1,Springfield Local School District,5,Average,"1880 Canton Road, Akron, OH, 44312",2
18,Rimer Community Learning Center,Public district,K-5,306.0,13:1,Akron City School District,5,Average,"2370 Manchester Road, Akron, OH, 44314",2
19,Findley Community Learning Center,Public district,K-5,614.0,13:1,Akron City School District,4,Below average,"65 West Tallmadge Avenue, Akron, OH, 44310",2
20,Barber Community Learning Center,Public district,K-6,304.0,11:1,Akron City School District,4,Below average,"665 Garry Road, Akron, OH, 44305",2
21,Hatton Elementary School,Public district,K-5,517.0,17:1,Akron City School District,4,Below average,"1933 Baker Avenue, Akron, OH, 44312",2
22,Hill Community Learning Center,Public district,K-6,316.0,13:1,Akron City School District,4,Below average,"1060 East Archwood Avenue, Akron, OH, 44306",2
23,King Elementary School,Public district,K-5,444.0,20:1,Akron City School District,4,Below average,"805 Memorial Parkway, Akron, OH, 44303",2
24,Summit Academy Middle School-Akron,Public charter,6-8,69.0,4:1,Summit Academy Middle School-Akron,4,Below average,"464 South Hawkins Avenue, Akron, OH, 44320",2
25,Robert A. Cross Middle Magnet,Public district,6-8,594.0,21:1,Dougherty County School District,10,Top rated,"324 Lockett Station Road, Albany, GA, 31721",2
26,Lincoln Elementary Magnet School,Public district,K-5,654.0,20:1,Dougherty County School District,7,Above average,"518 West Society Avenue, Albany, GA, 31701",2
27,Lake Park Elementary School,Public district,PK-5,566.0,19:1,Dougherty County School District,6,Average,"605 Meadowlark Drive, Albany, GA, 31707",2
28,Radium Springs Elementary School,Public district,PK-5,552.0,18:1,Dougherty County School District,5,Average,"2400 Roxanna Road, Albany, GA, 31705",2
29,International Studies Elementary Charter School,Public charter,K-5,426.0,14:1,Dougherty County School District,5,Average,"2237 Cutts Drive, Albany, GA, 31705",2
30,Lamar Reese School Of The Arts,Public district,K-5,511.0,18:1,Dougherty County School District,4,Below average,"1215 Lily Pond Road, Albany, GA, 31701",2
31,Westover High School,Public district,9-12,1396.0,22:1,Dougherty County School District,4,Below average,"2600 Partridge Drive, Albany, GA, 31707",4
32,Sherwood Acres Elementary School,Public district,PK-5,736.0,18:1,Dougherty County School District,4,Below average,"2201 Doncaster Drive, Albany, GA, 31707",2
33,Merry Acres Middle School,Public district,6-8,685.0,12:1,Dougherty County School District,4,Below average,"1601 Florence Drive, Albany, GA, 31707",2
34,Live Oak Elementary School,Public district,PK-5,667.0,20:1,Dougherty County School District,3,Below average,"4529 Gillionville Road, Albany, GA, 31721",2
35,Monroe High School,Public district,9-12,1189.0,19:1,Dougherty County School District,3,Below average,"900 Lippitt Dr, Albany, GA, 31701",2
36,Morningside Elementary School,Public district,PK-5,420.0,15:1,Dougherty County School District,3,Below average,"120 Sunset Lane, Albany, GA, 31705",2
