,Unnamed: 0,City,Zip Code,Walk Score,Transit Score,Bike Score,Population,State,Walkability,Public Transportation,Bikeability
0,0,Birmingham,35211.0,35,25,31,212237,AL,Car Dependent,Some Transit,Somewhat Bikeable
1,1,Montgomery,36109.0,26,16,38,205764,AL,Car Dependent,Minimal,Somewhat Bikeable
2,2,Mobile,36605.0,32,0,39,195111,AL,Car Dependent,Minimal,Somewhat Bikeable
3,3,Huntsville,35810.0,24,13,40,180105,AL,Car Dependent,Minimal,Somewhat Bikeable
4,4,Tuscaloosa,,33,0,37,90468,AL,Car Dependent,Minimal,Somewhat Bikeable
5,5,Hoover,,17,0,12,81619,AL,Car Dependent,Minimal,Somewhat Bikeable
6,6,Dothan,,23,0,35,65496,AL,Car Dependent,Minimal,Somewhat Bikeable
7,7,Decatur,,25,0,40,55683,AL,Car Dependent,Minimal,Somewhat Bikeable
8,8,Auburn,,27,0,38,53380,AL,Car Dependent,Minimal,Somewhat Bikeable
9,9,Madison,35758.0,17,0,34,42938,AL,Car Dependent,Minimal,Somewhat Bikeable
10,10,Florence,35630.0,32,0,36,39319,AL,Car Dependent,Minimal,Somewhat Bikeable
11,11,Gadsden,,25,0,33,36856,AL,Car Dependent,Minimal,Somewhat Bikeable
12,12,Vestavia Hills,,22,0,15,34033,AL,Car Dependent,Minimal,Somewhat Bikeable
13,13,Prattville,,17,0,28,33960,AL,Car Dependent,Minimal,Somewhat Bikeable
14,14,Phenix City,36867.0,23,0,24,32822,AL,Car Dependent,Minimal,Somewhat Bikeable
15,15,Alabaster,,9,0,20,30352,AL,Car Dependent,Minimal,Somewhat Bikeable
16,16,Bessemer,,26,0,31,27456,AL,Car Dependent,Minimal,Somewhat Bikeable
17,17,Enterprise,,19,0,28,26562,AL,Car Dependent,Minimal,Somewhat Bikeable
18,18,Opelika,,17,0,29,26477,AL,Car Dependent,Minimal,Somewhat Bikeable
19,19,Homewood,,41,22,27,25167,AL,Car Dependent,Minimal,Somewhat Bikeable
20,20,Northport,,26,0,30,23330,AL,Car Dependent,Minimal,Somewhat Bikeable
21,21,Anniston,36205.0,23,0,26,23106,AL,Car Dependent,Minimal,Somewhat Bikeable
22,22,Prichard,36612.0,25,0,39,22659,AL,Car Dependent,Minimal,Somewhat Bikeable
23,23,Athens,,21,0,37,21897,AL,Car Dependent,Minimal,Somewhat Bikeable
24,24,Daphne,,16,0,32,21570,AL,Car Dependent,Minimal,Somewhat Bikeable
25,25,Pelham,,13,0,16,21352,AL,Car Dependent,Minimal,Somewhat Bikeable
26,26,Oxford,,10,0,23,21348,AL,Car Dependent,Minimal,Somewhat Bikeable
27,27,Albertville,,21,0,34,21160,AL,Car Dependent,Minimal,Somewhat Bikeable
28,28,Selma,,33,0,48,20756,AL,Car Dependent,Minimal,Somewhat Bikeable
29,29,Mountain Brook,,22,0,16,20413,AL,Car Dependent,Minimal,Somewhat Bikeable
30,30,Trussville,,10,0,12,19933,AL,Car Dependent,Minimal,Somewhat Bikeable
31,31,Troy,,21,0,24,18033,AL,Car Dependent,Minimal,Somewhat Bikeable
32,32,Tillmans Corner,,13,0,31,17398,AL,Car Dependent,Minimal,Somewhat Bikeable
33,33,Center Point,,24,0,19,16921,AL,Car Dependent,Minimal,Somewhat Bikeable
34,34,Helena,,12,0,18,16793,AL,Car Dependent,Minimal,Somewhat Bikeable
35,0,Anchorage,,28,21,52,291826,AK,Car Dependent,Minimal,Bikeable
36,1,Fairbanks,,33,24,57,31535,AK,Car Dependent,Minimal,Bikeable
37,2,Juneau,,22,18,35,31275,AK,Car Dependent,Minimal,Somewhat Bikeable
38,3,Badger,,2,0,35,19482,AK,Car Dependent,Minimal,Somewhat Bikeable
39,0,Phoenix,85032.0,41,36,56,1445632,AZ,Car Dependent,Some Transit,Bikeable
40,1,Tucson,85710.0,42,35,67,520116,AZ,Car Dependent,Some Transit,Bikeable
41,2,Mesa,85204.0,37,27,61,439041,AZ,Car Dependent,Some Transit,Bikeable
42,3,Chandler,85225.0,35,24,57,236123,AZ,Car Dependent,Minimal,Bikeable
43,4,Glendale,85301.0,40,34,59,226721,AZ,Car Dependent,Some Transit,Bikeable
44,5,Scottsdale,85255.0,31,26,56,217385,AZ,Car Dependent,Some Transit,Bikeable
45,6,Gilbert,85296.0,28,15,54,208453,AZ,Car Dependent,Minimal,Bikeable
46,7,Tempe,85281.0,53,47,74,161719,AZ,Somewhat Walkable,Some Transit,Very Bikeable
47,8,Peoria,85345.0,29,14,47,154065,AZ,Car Dependent,Minimal,Somewhat Bikeable
48,9,Surprise,85374.0,21,0,47,117517,AZ,Car Dependent,Minimal,Somewhat Bikeable
49,10,Yuma,,31,19,55,93064,AZ,Car Dependent,Minimal,Bikeable
50,11,San Tan Valley,,13,0,35,81321,AZ,Car Dependent,Minimal,Somewhat Bikeable
51,12,Avondale,85329.0,28,0,52,76238,AZ,Car Dependent,Minimal,Bikeable
52,13,Casas Adobes,85741.0,24,0,46,66795,AZ,Car Dependent,Minimal,Somewhat Bikeable
53,14,Flagstaff,,38,35,65,65870,AZ,Car Dependent,Some Transit,Bikeable
54,15,Goodyear,,18,0,42,65275,AZ,Car Dependent,Minimal,Somewhat Bikeable
55,16,Lake Havasu City,86403.0,15,0,29,52527,AZ,Car Dependent,Minimal,Somewhat Bikeable
56,17,Buckeye,,13,0,33,50876,AZ,Car Dependent,Minimal,Somewhat Bikeable
57,18,Catalina Foothills,85718.0,13,0,30,50796,AZ,Car Dependent,Minimal,Somewhat Bikeable
58,19,Casa Grande,,26,0,45,48571,AZ,Car Dependent,Minimal,Somewhat Bikeable
59,20,Sierra Vista,85613.0,25,0,53,43888,AZ,Car Dependent,Minimal,Bikeable
60,21,Maricopa,,14,0,39,43482,AZ,Car Dependent,Minimal,Somewhat Bikeable
61,22,Oro Valley,,12,0,41,41011,AZ,Car Dependent,Minimal,Somewhat Bikeable
62,23,Prescott,,25,0,27,39843,AZ,Car Dependent,Minimal,Somewhat Bikeable
63,24,Bullhead City,,23,0,32,39540,AZ,Car Dependent,Minimal,Somewhat Bikeable
64,25,Prescott Valley,,17,0,36,38822,AZ,Car Dependent,Minimal,Somewhat Bikeable
65,26,Sun City,85351.0,25,0,43,37499,AZ,Car Dependent,Minimal,Somewhat Bikeable
66,27,Apache Junction,,18,0,42,35840,AZ,Car Dependent,Minimal,Somewhat Bikeable
67,28,Marana,,12,0,38,34961,AZ,Car Dependent,Minimal,Somewhat Bikeable
68,29,El Mirage,,27,0,43,31797,AZ,Car Dependent,Minimal,Somewhat Bikeable
69,30,Kingman,,24,0,36,28068,AZ,Car Dependent,Minimal,Somewhat Bikeable
70,31,Drexel Heights,,15,0,32,27749,AZ,Car Dependent,Minimal,Somewhat Bikeable
71,32,Queen Creek,,16,0,44,26361,AZ,Car Dependent,Minimal,Somewhat Bikeable
72,33,Fortuna Foothills,85367.0,13,0,36,26265,AZ,Car Dependent,Minimal,Somewhat Bikeable
73,34,Florence,,19,0,39,25536,AZ,Car Dependent,Minimal,Somewhat Bikeable
74,35,San Luis,85349.0,27,0,43,25505,AZ,Car Dependent,Minimal,Somewhat Bikeable
75,36,Sahuarita,,9,0,31,25259,AZ,Car Dependent,Minimal,Somewhat Bikeable
76,37,Sun City West,,11,0,40,24535,AZ,Car Dependent,Minimal,Somewhat Bikeable
77,38,Fountain Hills,85268.0,19,0,26,22489,AZ,Car Dependent,Minimal,Somewhat Bikeable
78,39,Anthem,,18,0,42,21700,AZ,Car Dependent,Minimal,Somewhat Bikeable
79,40,Green Valley,,12,0,31,21391,AZ,Car Dependent,Minimal,Somewhat Bikeable
80,41,Nogales,,34,0,27,20837,AZ,Car Dependent,Minimal,Somewhat Bikeable
81,42,Rio Rico,,6,0,17,18962,AZ,Car Dependent,Minimal,Somewhat Bikeable
82,43,Douglas,,41,0,49,17378,AZ,Car Dependent,Minimal,Somewhat Bikeable
83,44,Tanque Verde,,4,0,29,16901,AZ,Car Dependent,Minimal,Somewhat Bikeable
