Metro-Area,State,"City,State",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abilene,TX,"Abilene, TX",165585.0,166634.0,167442.0,167473.0,168342.0,169688.0,170017.0,170429.0,171150.0,172060.0
Akron,OH,"Akron, OH",703031.0,703200.0,702109.0,703621.0,704908.0,704382.0,703524.0,703987.0,703855.0,703479.0
Albany,GA,"Albany, GA",154145.0,154545.0,153976.0,152667.0,151949.0,150387.0,149137.0,148090.0,147840.0,146726.0
Albany,OR,"Albany, OR",116891.0,118164.0,118273.0,118405.0,119042.0,120236.0,122769.0,125035.0,127451.0,129749.0
Lebanon,OR,"Lebanon, OR",116891.0,118164.0,118273.0,118405.0,119042.0,120236.0,122769.0,125035.0,127451.0,129749.0
Albany,NY,"Albany, NY",871082.0,872778.0,874698.0,877065.0,878113.0,879085.0,879792.0,882158.0,882263.0,880381.0
Schenectady,NY,"Schenectady, NY",871082.0,872778.0,874698.0,877065.0,878113.0,879085.0,879792.0,882158.0,882263.0,880381.0
Troy,NY,"Troy, NY",871082.0,872778.0,874698.0,877065.0,878113.0,879085.0,879792.0,882158.0,882263.0,880381.0
Albuquerque,NM,"Albuquerque, NM",889558.0,898016.0,901939.0,904953.0,904538.0,906026.0,909237.0,912311.0,914947.0,918018.0
Alexandria,LA,"Alexandria, LA",154096.0,154402.0,154400.0,154623.0,154558.0,154082.0,154124.0,153549.0,152762.0,152037.0
Allentown,PA,"Allentown, PA",821923.0,824930.0,826144.0,825731.0,828470.0,830295.0,833163.0,837921.0,842626.0,844052.0
Allentown,NJ,"Allentown, NJ",821923.0,824930.0,826144.0,825731.0,828470.0,830295.0,833163.0,837921.0,842626.0,844052.0
Bethlehem,PA,"Bethlehem, PA",821923.0,824930.0,826144.0,825731.0,828470.0,830295.0,833163.0,837921.0,842626.0,844052.0
Bethlehem,NJ,"Bethlehem, NJ",821923.0,824930.0,826144.0,825731.0,828470.0,830295.0,833163.0,837921.0,842626.0,844052.0
Easton,PA,"Easton, PA",821923.0,824930.0,826144.0,825731.0,828470.0,830295.0,833163.0,837921.0,842626.0,844052.0
Easton,NJ,"Easton, NJ",821923.0,824930.0,826144.0,825731.0,828470.0,830295.0,833163.0,837921.0,842626.0,844052.0
Altoona,PA,"Altoona, PA",127045.0,126970.0,126544.0,125836.0,125274.0,124596.0,123708.0,123147.0,122503.0,121829.0
Amarillo,TX,"Amarillo, TX",252664.0,255975.0,257802.0,258896.0,260812.0,261618.0,262987.0,264331.0,264406.0,265053.0
Ames,IA,"Ames, IA",115925.0,117424.0,118139.0,120161.0,122092.0,123079.0,123309.0,123721.0,123093.0,123351.0
Anchorage,AK,"Anchorage, AK",383053.0,387922.0,391932.0,397022.0,397996.0,398609.0,401368.0,400570.0,397636.0,396317.0
Ann Arbor,MI,"Ann Arbor, MI",345717.0,349753.0,352303.0,356040.0,360021.0,362975.0,366135.0,368807.0,369483.0,367601.0
Anniston,AL,"Anniston, AL",118408.0,117744.0,117190.0,116471.0,115917.0,115469.0,114973.0,114710.0,114331.0,113605.0
Oxford,AL,"Oxford, AL",118408.0,117744.0,117190.0,116471.0,115917.0,115469.0,114973.0,114710.0,114331.0,113605.0
Appleton,WI,"Appleton, WI",225948.0,227548.0,228656.0,229978.0,231627.0,233146.0,234200.0,235811.0,237011.0,237974.0
Asheville,NC,"Asheville, NC",425338.0,428113.0,430945.0,435795.0,439661.0,444593.0,450310.0,454855.0,459314.0,462680.0
Athens,GA,"Athens, GA",193439.0,194375.0,195984.0,197590.0,198361.0,202565.0,205402.0,209106.0,211468.0,213750.0
Clarke County,GA,"Clarke County, GA",193439.0,194375.0,195984.0,197590.0,198361.0,202565.0,205402.0,209106.0,211468.0,213750.0
Atlanta,GA,"Atlanta, GA",5302598.0,5366462.0,5444473.0,5510530.0,5593204.0,5686048.0,5787965.0,5872432.0,5945303.0,6020364.0
Sandy Springs,GA,"Sandy Springs, GA",5302598.0,5366462.0,5444473.0,5510530.0,5593204.0,5686048.0,5787965.0,5872432.0,5945303.0,6020364.0
Alpharetta,GA,"Alpharetta, GA",5302598.0,5366462.0,5444473.0,5510530.0,5593204.0,5686048.0,5787965.0,5872432.0,5945303.0,6020364.0
Atlantic City,NJ,"Atlantic City, NJ",274648.0,274621.0,274629.0,274314.0,272578.0,270153.0,267217.0,265498.0,263989.0,263670.0
Hammonton,NJ,"Hammonton, NJ",274648.0,274621.0,274629.0,274314.0,272578.0,270153.0,267217.0,265498.0,263989.0,263670.0
Auburn,AL,"Auburn, AL",140794.0,144130.0,148567.0,151809.0,154511.0,156954.0,159168.0,161440.0,163656.0,164542.0
Opelika,AL,"Opelika, AL",140794.0,144130.0,148567.0,151809.0,154511.0,156954.0,159168.0,161440.0,163656.0,164542.0
Augusta,GA,"Augusta, GA",566694.0,570849.0,576206.0,579802.0,583046.0,589574.0,595029.0,600276.0,604221.0,608980.0
Augusta,SC,"Augusta, SC",566694.0,570849.0,576206.0,579802.0,583046.0,589574.0,595029.0,600276.0,604221.0,608980.0
Richmond County,GA,"Richmond County, GA",566694.0,570849.0,576206.0,579802.0,583046.0,589574.0,595029.0,600276.0,604221.0,608980.0
Richmond County,SC,"Richmond County, SC",566694.0,570849.0,576206.0,579802.0,583046.0,589574.0,595029.0,600276.0,604221.0,608980.0
Austin,TX,"Austin, TX",1727502.0,1780535.0,1834586.0,1883315.0,1942467.0,2002134.0,2062016.0,2115475.0,2165497.0,2227083.0
Round Rock,TX,"Round Rock, TX",1727502.0,1780535.0,1834586.0,1883315.0,1942467.0,2002134.0,2062016.0,2115475.0,2165497.0,2227083.0
Georgetown,TX,"Georgetown, TX",1727502.0,1780535.0,1834586.0,1883315.0,1942467.0,2002134.0,2062016.0,2115475.0,2165497.0,2227083.0
Bakersfield,CA,"Bakersfield, CA",840996.0,847970.0,853606.0,862000.0,869176.0,876031.0,880856.0,887356.0,893758.0,900202.0
Baltimore,MD,"Baltimore, MD",2715738.0,2733785.0,2754637.0,2768233.0,2780055.0,2790053.0,2794111.0,2798707.0,2800743.0,2800053.0
Columbia,MD,"Columbia, MD",2715738.0,2733785.0,2754637.0,2768233.0,2780055.0,2790053.0,2794111.0,2798707.0,2800743.0,2800053.0
Towson,MD,"Towson, MD",2715738.0,2733785.0,2754637.0,2768233.0,2780055.0,2790053.0,2794111.0,2798707.0,2800743.0,2800053.0
Bangor,ME,"Bangor, ME",153861.0,153759.0,153347.0,153222.0,153201.0,151929.0,151333.0,151645.0,151817.0,152148.0
Barnstable Town,MA,"Barnstable Town, MA",215899.0,215356.0,214788.0,214518.0,214289.0,213877.0,213559.0,213581.0,213471.0,212990.0
Baton Rouge,LA,"Baton Rouge, LA",827629.0,831493.0,836197.0,841986.0,846827.0,851167.0,856723.0,854295.0,854526.0,854884.0
Battle Creek,MI,"Battle Creek, MI",135951.0,135105.0,134737.0,134751.0,134804.0,134327.0,134344.0,134180.0,134049.0,134159.0
Bay City,MI,"Bay City, MI",107679.0,107417.0,106967.0,106794.0,106046.0,105237.0,104411.0,104045.0,103702.0,103126.0
Beaumont,TX,"Beaumont, TX",389251.0,390905.0,389614.0,391195.0,391651.0,394825.0,396539.0,398129.0,393815.0,392563.0
Port Arthur,TX,"Port Arthur, TX",389251.0,390905.0,389614.0,391195.0,391651.0,394825.0,396539.0,398129.0,393815.0,392563.0
Beckley,WV,"Beckley, WV",124949.0,125266.0,125110.0,124356.0,123342.0,122070.0,120475.0,118673.0,117154.0,115767.0
Bellingham,WA,"Bellingham, WA",201545.0,203490.0,204863.0,206073.0,208154.0,211836.0,216417.0,221410.0,225197.0,229247.0
Bend,OR,"Bend, OR",157742.0,159660.0,161359.0,165299.0,169512.0,174246.0,180666.0,186744.0,191905.0,197692.0
Billings,MT,"Billings, MT",167571.0,169017.0,170942.0,173367.0,174952.0,176357.0,177759.0,179365.0,180203.0,181667.0
Binghamton,NY,"Binghamton, NY",251489.0,250238.0,248945.0,248017.0,247075.0,245283.0,243322.0,241709.0,240366.0,238691.0
Birmingham,AL,"Birmingham, AL",1061717.0,1064030.0,1067563.0,1072882.0,1076087.0,1079752.0,1082877.0,1085615.0,1087967.0,1090435.0
Hoover,AL,"Hoover, AL",1061717.0,1064030.0,1067563.0,1072882.0,1076087.0,1079752.0,1082877.0,1085615.0,1087967.0,1090435.0
Bismarck,ND,"Bismarck, ND",111112.0,112865.0,115679.0,119240.0,122155.0,125325.0,127233.0,128115.0,128279.0,128949.0
Blacksburg,VA,"Blacksburg, VA",163131.0,163442.0,164120.0,165240.0,165688.0,165725.0,166572.0,166605.0,167492.0,167531.0
Christiansburg,VA,"Christiansburg, VA",163131.0,163442.0,164120.0,165240.0,165688.0,165725.0,166572.0,166605.0,167492.0,167531.0
Bloomington,IL,"Bloomington, IL",169810.0,170909.0,172721.0,175037.0,174105.0,173141.0,173070.0,172754.0,172410.0,171517.0
Bloomington,IN,"Bloomington, IN",160132.0,161722.0,162852.0,163221.0,164422.0,165073.0,166655.0,167429.0,168092.0,169230.0
Bloomsburg,PA,"Bloomsburg, PA",85657.0,85449.0,85472.0,85592.0,85538.0,84980.0,84390.0,83851.0,83455.0,83194.0
Berwick,PA,"Berwick, PA",85657.0,85449.0,85472.0,85592.0,85538.0,84980.0,84390.0,83851.0,83455.0,83194.0
Boise City,ID,"Boise City, ID",617866.0,627670.0,637425.0,649224.0,662624.0,674640.0,691285.0,709682.0,728911.0,749202.0
Boston,NH,"Boston, NH",4566348.0,4609790.0,4656593.0,4702877.0,4746931.0,4778340.0,4809061.0,4841772.0,4859536.0,4873019.0
Cambridge,NH,"Cambridge, NH",4566348.0,4609790.0,4656593.0,4702877.0,4746931.0,4778340.0,4809061.0,4841772.0,4859536.0,4873019.0
Newton,NH,"Newton, NH",4566348.0,4609790.0,4656593.0,4702877.0,4746931.0,4778340.0,4809061.0,4841772.0,4859536.0,4873019.0
Boston,MA,"Boston, MA",1894717.0,1913107.0,1933463.0,1953625.0,1972382.0,1986314.0,2001862.0,2016866.0,2024799.0,2031884.0
Cambridge,MA,"Cambridge, MA",2253142.0,2276355.0,2300205.0,2324767.0,2346646.0,2362297.0,2374511.0,2388396.0,2396653.0,2400733.0
Newton,MA,"Newton, MA",2253142.0,2276355.0,2300205.0,2324767.0,2346646.0,2362297.0,2374511.0,2388396.0,2396653.0,2400733.0
Framingham,MA,"Framingham, MA",2253142.0,2276355.0,2300205.0,2324767.0,2346646.0,2362297.0,2374511.0,2388396.0,2396653.0,2400733.0
Rockingham County,NH,"Rockingham County, NH",418489.0,420328.0,422925.0,424485.0,427903.0,429729.0,432688.0,436510.0,438084.0,440402.0
Strafford County,NH,"Strafford County, NH",418489.0,420328.0,422925.0,424485.0,427903.0,429729.0,432688.0,436510.0,438084.0,440402.0
Boulder,CO,"Boulder, CO",295037.0,299957.0,304570.0,309323.0,312233.0,318027.0,321250.0,322441.0,324636.0,326196.0
Bowling Green,KY,"Bowling Green, KY",159341.0,160985.0,162450.0,164653.0,166630.0,169507.0,171902.0,174981.0,176864.0,179240.0
Bremerton,WA,"Bremerton, WA",251681.0,254297.0,254339.0,252401.0,253387.0,259232.0,263142.0,266289.0,269276.0,271473.0
Silverdale,WA,"Silverdale, WA",251681.0,254297.0,254339.0,252401.0,253387.0,259232.0,263142.0,266289.0,269276.0,271473.0
Port Orchard,WA,"Port Orchard, WA",251681.0,254297.0,254339.0,252401.0,253387.0,259232.0,263142.0,266289.0,269276.0,271473.0
Bridgeport,CT,"Bridgeport, CT",919355.0,928000.0,935099.0,939924.0,944196.0,944943.0,944347.0,943038.0,943971.0,943332.0
Stamford,CT,"Stamford, CT",919355.0,928000.0,935099.0,939924.0,944196.0,944943.0,944347.0,943038.0,943971.0,943332.0
Norwalk,CT,"Norwalk, CT",919355.0,928000.0,935099.0,939924.0,944196.0,944943.0,944347.0,943038.0,943971.0,943332.0
Brownsville,TX,"Brownsville, TX",407630.0,413201.0,415877.0,417357.0,419005.0,419450.0,421350.0,422227.0,422139.0,423163.0
Harlingen,TX,"Harlingen, TX",407630.0,413201.0,415877.0,417357.0,419005.0,419450.0,421350.0,422227.0,422139.0,423163.0
Brunswick,GA,"Brunswick, GA",112534.0,112895.0,113281.0,113781.0,114607.0,115779.0,116571.0,117587.0,118282.0,118779.0
Buffalo,NY,"Buffalo, NY",1135627.0,1135562.0,1134619.0,1134974.0,1135060.0,1133002.0,1130232.0,1129882.0,1129777.0,1127983.0
Cheektowaga,NY,"Cheektowaga, NY",1135627.0,1135562.0,1134619.0,1134974.0,1135060.0,1133002.0,1130232.0,1129882.0,1129777.0,1127983.0
Burlington,NC,"Burlington, NC",151431.0,152692.0,153265.0,154162.0,155384.0,157037.0,160283.0,163276.0,166514.0,169509.0
Burlington,VT,"Burlington, VT",211538.0,213235.0,213962.0,214827.0,215676.0,217152.0,217447.0,218975.0,219939.0,220411.0
South Burlington,VT,"South Burlington, VT",211538.0,213235.0,213962.0,214827.0,215676.0,217152.0,217447.0,218975.0,219939.0,220411.0
California,MD,"California, MD",105761.0,107566.0,108800.0,109224.0,109913.0,110985.0,111750.0,112487.0,112720.0,113510.0
