"City,State",ds,y
"Abilene, TX",2010,165585.0
"Akron, OH",2010,703031.0
"Albany, GA",2010,154145.0
"Albany, OR",2010,116891.0
"Lebanon, OR",2010,116891.0
"Albany, NY",2010,871082.0
"Schenectady, NY",2010,871082.0
"Troy, NY",2010,871082.0
"Albuquerque, NM",2010,889558.0
"Alexandria, LA",2010,154096.0
"Allentown, PA",2010,821923.0
"Allentown, NJ",2010,821923.0
"Bethlehem, PA",2010,821923.0
"Bethlehem, NJ",2010,821923.0
"Easton, PA",2010,821923.0
"Easton, NJ",2010,821923.0
"Altoona, PA",2010,127045.0
"Amarillo, TX",2010,252664.0
"Ames, IA",2010,115925.0
"Anchorage, AK",2010,383053.0
"Ann Arbor, MI",2010,345717.0
"Anniston, AL",2010,118408.0
"Oxford, AL",2010,118408.0
"Appleton, WI",2010,225948.0
"Asheville, NC",2010,425338.0
"Athens, GA",2010,193439.0
"Clarke County, GA",2010,193439.0
"Atlanta, GA",2010,5302598.0
"Sandy Springs, GA",2010,5302598.0
"Alpharetta, GA",2010,5302598.0
"Atlantic City, NJ",2010,274648.0
"Hammonton, NJ",2010,274648.0
"Auburn, AL",2010,140794.0
"Opelika, AL",2010,140794.0
"Augusta, GA",2010,566694.0
"Augusta, SC",2010,566694.0
"Richmond County, GA",2010,566694.0
"Richmond County, SC",2010,566694.0
"Austin, TX",2010,1727502.0
"Round Rock, TX",2010,1727502.0
"Georgetown, TX",2010,1727502.0
"Bakersfield, CA",2010,840996.0
"Baltimore, MD",2010,2715738.0
"Columbia, MD",2010,2715738.0
"Towson, MD",2010,2715738.0
"Bangor, ME",2010,153861.0
"Barnstable Town, MA",2010,215899.0
"Baton Rouge, LA",2010,827629.0
"Battle Creek, MI",2010,135951.0
"Bay City, MI",2010,107679.0
"Beaumont, TX",2010,389251.0
"Port Arthur, TX",2010,389251.0
"Beckley, WV",2010,124949.0
"Bellingham, WA",2010,201545.0
"Bend, OR",2010,157742.0
"Billings, MT",2010,167571.0
"Binghamton, NY",2010,251489.0
"Birmingham, AL",2010,1061717.0
"Hoover, AL",2010,1061717.0
"Bismarck, ND",2010,111112.0
"Blacksburg, VA",2010,163131.0
"Christiansburg, VA",2010,163131.0
"Bloomington, IL",2010,169810.0
"Bloomington, IN",2010,160132.0
"Bloomsburg, PA",2010,85657.0
"Berwick, PA",2010,85657.0
"Boise City, ID",2010,617866.0
"Boston, NH",2010,4566348.0
"Cambridge, NH",2010,4566348.0
"Newton, NH",2010,4566348.0
"Boston, MA",2010,1894717.0
"Cambridge, MA",2010,2253142.0
"Newton, MA",2010,2253142.0
"Framingham, MA",2010,2253142.0
"Rockingham County, NH",2010,418489.0
"Strafford County, NH",2010,418489.0
"Boulder, CO",2010,295037.0
"Bowling Green, KY",2010,159341.0
"Bremerton, WA",2010,251681.0
"Silverdale, WA",2010,251681.0
"Port Orchard, WA",2010,251681.0
"Bridgeport, CT",2010,919355.0
"Stamford, CT",2010,919355.0
"Norwalk, CT",2010,919355.0
"Brownsville, TX",2010,407630.0
"Harlingen, TX",2010,407630.0
"Brunswick, GA",2010,112534.0
"Buffalo, NY",2010,1135627.0
"Cheektowaga, NY",2010,1135627.0
"Burlington, NC",2010,151431.0
"Burlington, VT",2010,211538.0
"South Burlington, VT",2010,211538.0
"California, MD",2010,105761.0
"Lexington Park, MD",2010,105761.0
"Canton, OH",2010,404218.0
"Massillon, OH",2010,404218.0
"Cape Coral, FL",2010,620449.0
"Fort Myers, FL",2010,620449.0
"Cape Girardeau, MO",2010,96447.0
"Cape Girardeau, IL",2010,96447.0
"Carbondale, IL",2010,139409.0
"Marion, IL",2010,139409.0
"Carson City, NV",2010,54981.0
"Casper, WY",2010,75470.0
"Cedar Rapids, IA",2010,258440.0
"Chambersburg, PA",2010,149925.0
"Waynesboro, PA",2010,149925.0
"Champaign, IL",2010,218255.0
"Urbana, IL",2010,218255.0
"Charleston, WV",2010,277805.0
"Charleston, SC",2010,667450.0
"North Charleston, SC",2010,667450.0
"Charlotte, NC",2010,2250121.0
"Charlotte, SC",2010,2250121.0
"Concord, NC",2010,2250121.0
"Concord, SC",2010,2250121.0
"Gastonia, NC",2010,2250121.0
"Gastonia, SC",2010,2250121.0
"Charlottesville, VA",2010,201891.0
"Chattanooga, TN",2010,529131.0
"Cheyenne, WY",2010,92236.0
"Chicago, IN",2010,9470634.0
"Chicago, WI",2010,9470634.0
"Naperville, IN",2010,9470634.0
"Naperville, WI",2010,9470634.0
"Elgin, IN",2010,9470634.0
"Elgin, WI",2010,9470634.0
"Chicago, IL",2010,7155089.0
"Naperville, IL",2010,7155089.0
"Evanston, IL",2010,7155089.0
"Elgin, IL",2010,736586.0
"Gary, IN",2010,708163.0
"Lake County, IL",2010,870796.0
"Lake County, WI",2010,870796.0
"Kenosha County, IL",2010,870796.0
"Kenosha County, WI",2010,870796.0
"Chico, CA",2010,219949.0
"Cincinnati, OH",2010,2140715.0
"Clarksville, TN",2010,274959.0
"Cleveland, TN",2010,115896.0
"Cleveland, OH",2010,2075478.0
"Elyria, OH",2010,2075478.0
"Coeur d'Alene, ID",2010,138848.0
"College Station, TX",2010,229458.0
"Bryan, TX",2010,229458.0
"Colorado Springs, CO",2010,650500.0
"Columbia, MO",2010,190947.0
"Columbia, SC",2010,769646.0
"Columbus, GA",2010,309476.0
"Columbus, IN",2010,76818.0
"Columbus, OH",2010,1906366.0
"Corpus Christi, TX",2010,404676.0
"Corvallis, OR",2010,85574.0
"Crestview, FL",2010,235932.0
"Fort Walton Beach, FL",2010,235932.0
"Destin, FL",2010,235932.0
"Cumberland, MD",2010,103170.0
"Dallas, TX",2010,4246890.0
"Plano, TX",2010,4246890.0
"Irving, TX",2010,4246890.0
"Fort Worth, TX",2010,2145175.0
"Arlington, TX",2010,2145175.0
"Grapevine, TX",2010,2145175.0
"Dalton, GA",2010,142278.0
"Danville, IL",2010,81640.0
"Daphne, AL",2010,183112.0
"Fairhope, AL",2010,183112.0
"Foley, AL",2010,183112.0
"Davenport, IA",2010,379743.0
"Davenport, IL",2010,379743.0
"Moline, IA",2010,379743.0
"Moline, IL",2010,379743.0
"Rock Island, IA",2010,379743.0
"Rock Island, IL",2010,379743.0
"Dayton, OH",2010,799672.0
"Kettering, OH",2010,799672.0
"Decatur, AL",2010,153950.0
"Decatur, IL",2010,110787.0
"Deltona, FL",2010,590506.0
"Daytona Beach, FL",2010,590506.0
"Ormond Beach, FL",2010,590506.0
"Denver, CO",2010,2554523.0
"Aurora, CO",2010,2554523.0
"Lakewood, CO",2010,2554523.0
"Des Moines, IA",2010,608930.0
"West Des Moines, IA",2010,608930.0
"Detroit, MI",2010,1815081.0
"Dearborn, MI",2010,1815081.0
"Livonia, MI",2010,1815081.0
"Warren, MI",2010,2476427.0
"Troy, MI",2010,2476427.0
"Farmington Hills, MI",2010,2476427.0
"Dothan, AL",2010,145871.0
"Dover, DE",2010,162956.0
"Dubuque, IA",2010,93929.0
"Duluth, MN",2010,290542.0
"Durham, NC",2010,566267.0
"Chapel Hill, NC",2010,566267.0
"East Stroudsburg, PA",2010,169849.0
"Eau Claire, WI",2010,161655.0
"El Centro, CA",2010,174716.0
"Elizabethtown, KY",2010,149833.0
"Fort Knox, KY",2010,149833.0
"Elkhart, IN",2010,197451.0
"Goshen, IN",2010,197451.0
"Elmira, NY",2010,88895.0
"El Paso, TX",2010,807048.0
"Enid, OK",2010,60765.0
"Erie, PA",2010,280799.0
"Eugene, OR",2010,351920.0
"Springfield, OR",2010,351920.0
"Evansville, IN",2010,311802.0
"Fairbanks, AK",2010,98264.0
"Fargo, ND",2010,209455.0
"Farmington, NM",2010,130203.0
"Fayetteville, NC",2010,490446.0
"Fayetteville, AR",2010,442301.0
"Springdale, AR",2010,442301.0
"Rogers, AR",2010,442301.0
"Flagstaff, AZ",2010,134612.0
"Flint, MI",2010,424953.0
"Florence, SC",2010,205662.0
"Florence, AL",2010,147261.0
"Muscle Shoals, AL",2010,147261.0
"Fond du Lac, WI",2010,101576.0
"Fort Collins, CO",2010,300441.0
"Fort Smith, AR",2010,248344.0
"Fort Smith, OK",2010,248344.0
"Fort Wayne, IN",2010,389298.0
"Fresno, CA",2010,932039.0
"Gadsden, AL",2010,104459.0
"Gainesville, FL",2010,305334.0
"Gainesville, GA",2010,180033.0
"Gettysburg, PA",2010,101479.0
"Glens Falls, NY",2010,129021.0
"Goldsboro, NC",2010,122886.0
"Grand Forks, ND",2010,98633.0
"Grand Forks, MN",2010,98633.0
"Grand Island, NE",2010,72936.0
"Grand Junction, CO",2010,146259.0
"Grand Rapids, MI",2010,994262.0
"Kentwood, MI",2010,994262.0
"Grants Pass, OR",2010,82879.0
"Great Falls, MT",2010,81507.0
"Greeley, CO",2010,254207.0
"Green Bay, WI",2010,306754.0
"Greensboro, NC",2010,725264.0
"High Point, NC",2010,725264.0
"Greenville, NC",2010,168863.0
"Greenville, SC",2010,825625.0
"Anderson, SC",2010,825625.0
"Gulfport, MS",2010,389324.0
"Biloxi, MS",2010,389324.0
"Hagerstown, MD",2010,269833.0
"Hagerstown, WV",2010,269833.0
"Martinsburg, MD",2010,269833.0
"Martinsburg, WV",2010,269833.0
"Hammond, LA",2010,121485.0
