,metro_code,areaname,state_alpha,2017,2018,2019,2020,2021,"city, state"
1,METRO19300M19300,Daphne,AL,807,729,756,744,718,"Daphne, AL"
2,METRO19300M19300,Fairhope,AL,807,729,756,744,718,"Fairhope, AL"
3,METRO19300M19300,Foley,AL,807,729,756,744,718,"Foley, AL"
8,METRO11500M11500,Anniston,AL,437,477,457,468,482,"Anniston, AL"
9,METRO11500M11500,Oxford,AL,437,477,457,468,482,"Oxford, AL"
10,METRO11500M11500,Jacksonville,AL,437,477,457,468,482,"Jacksonville, AL"
11,METRO13820N01021,Chilton County,AL,484,506,517,594,595,"Chilton County, AL"
15,METRO23460M23460,Gadsden,AL,527,494,497,523,557,"Gadsden, AL"
18,METRO20020N01067,Henry County,AL,513,538,493,479,492,"Henry County, AL"
19,METRO20020M20020,Dothan,AL,508,531,515,503,543,"Dothan, AL"
22,METRO22520M22520,Florence,AL,529,526,531,498,525,"Florence, AL"
23,METRO22520M22520,Muscle Shoals,AL,529,526,531,498,525,"Muscle Shoals, AL"
25,METRO12220M12220,Auburn,AL,543,557,547,564,590,"Auburn, AL"
26,METRO12220M12220,Opelika,AL,543,557,547,564,590,"Opelika, AL"
29,METRO26620M26620,Huntsville,AL,541,521,586,567,589,"Huntsville, AL"
30,METRO33660M33660,Mobile,AL,727,679,677,693,642,"Mobile, AL"
31,METRO33860M33860,Montgomery,AL,587,588,581,583,640,"Montgomery, AL"
32,METRO19460M19460,Decatur,AL,427,443,448,480,509,"Decatur, AL"
33,METRO46220N01107,Pickens County,AL,450,451,478,486,490,"Pickens County, AL"
34,METRO17980M17980,Columbus,AL,605,621,643,594,644,"Columbus, AL"
37,METRO13820M13820,Birmingham,AL,665,692,706,804,817,"Birmingham, AL"
38,METRO13820M13820,Hoover,AL,665,692,706,804,817,"Hoover, AL"
39,METRO46220M46220,Tuscaloosa,AL,566,599,658,719,691,"Tuscaloosa, AL"
40,METRO13820N01127,Walker County,AL,500,502,499,566,546,"Walker County, AL"
41,METRO11260M11260,Anchorage,AK,888,923,931,935,877,"Anchorage, AK"
42,METRO21820M21820,Fairbanks,AK,804,873,871,863,858,"Fairbanks, AK"
43,METRO11260N02170,Matanuska,AK,660,740,768,741,733,"Matanuska, AK"
44,METRO11260N02170,Susitna Borough,AK,660,740,768,741,733,"Susitna Borough, AK"
45,METRO43420M43420,Sierra Vista,AZ,594,617,638,654,663,"Sierra Vista, AZ"
46,METRO43420M43420,Douglas,AZ,594,617,638,654,663,"Douglas, AZ"
47,METRO22380M22380,Flagstaff,AZ,704,782,898,964,1026,"Flagstaff, AZ"
51,METRO29420M29420,Lake Havasu City,AZ,529,564,556,630,645,"Lake Havasu City, AZ"
52,METRO29420M29420,Kingman,AZ,529,564,556,630,645,"Kingman, AZ"
53,METRO46060M46060,Tucson,AZ,550,545,580,618,633,"Tucson, AZ"
54,METRO38060M38060,Phoenix,AZ,624,684,744,847,933,"Phoenix, AZ"
55,METRO38060M38060,Mesa,AZ,624,684,744,847,933,"Mesa, AZ"
56,METRO38060M38060,Scottsdale,AZ,624,684,744,847,933,"Scottsdale, AZ"
57,METRO39140M39140,Prescott,AZ,683,665,717,714,698,"Prescott, AZ"
58,METRO49740M49740,Yuma,AZ,639,583,565,572,665,"Yuma, AZ"
63,METRO27860MM3700,Jonesboro,AR,466,493,507,517,535,"Jonesboro, AR"
65,METRO32820M32820,Memphis,AR,631,628,658,665,686,"Memphis, AR"
69,METRO26300M26300,Hot Springs,AR,526,531,551,554,569,"Hot Springs, AR"
70,METRO30780N05053,Grant County,AR,442,470,519,566,619,"Grant County, AR"
