2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31
566.0,566.0,598.0,632.0,707.0,693.0,721.0,748.0,842.0,872.0,900.0,927.0,1021.0,1051.0,1079.0
419.0,455.0,491.0,527.0,546.0,600.0,637.0,674.0,691.0,728.0,765.0,802.0,819.0,856.0,892.0
353.0,353.0,357.0,364.0,381.0,390.0,408.0,430.0,404.0,418.0,437.0,459.0,432.0,447.0,465.0
337.0,330.0,326.0,327.0,337.0,342.0,355.0,373.0,332.0,342.0,355.0,373.0,333.0,342.0,356.0
519.0,528.0,539.0,553.0,566.0,591.0,614.0,641.0,618.0,638.0,662.0,688.0,665.0,685.0,709.0
579.0,563.0,555.0,601.0,624.0,728.0,809.0,900.0,791.0,860.0,940.0,1031.0,922.0,991.0,1071.0
687.0,719.0,743.0,758.0,810.0,765.0,756.0,739.0,889.0,888.0,879.0,862.0,1011.0,1011.0,1002.0
557.0,584.0,646.0,721.0,795.0,924.0,1051.0,1196.0,1060.0,1170.0,1297.0,1442.0,1307.0,1417.0,1544.0
558.0,557.0,563.0,571.0,622.0,594.0,608.0,626.0,651.0,663.0,678.0,696.0,721.0,733.0,748.0
1457.0,1459.0,1456.0,1446.0,1514.0,1408.0,1380.0,1346.0,1486.0,1464.0,1436.0,1402.0,1542.0,1520.0,1493.0
596.0,536.0,499.0,517.0,541.0,616.0,697.0,798.0,571.0,631.0,711.0,812.0,585.0,645.0,726.0
1457.0,1459.0,1456.0,1446.0,1514.0,1408.0,1380.0,1346.0,1486.0,1464.0,1436.0,1402.0,1542.0,1520.0,1493.0
1457.0,1459.0,1456.0,1446.0,1514.0,1408.0,1380.0,1346.0,1486.0,1464.0,1436.0,1402.0,1542.0,1520.0,1493.0
456.0,478.0,492.0,496.0,520.0,476.0,452.0,419.0,555.0,540.0,517.0,484.0,620.0,605.0,581.0
658.0,687.0,704.0,711.0,789.0,692.0,667.0,631.0,837.0,822.0,797.0,761.0,967.0,952.0,927.0
