metro_code,areaname,state_alpha,2017,2018,2019,2020,2021,"city, state"
METRO19300M19300,Daphne,AL,847,762,773,749,723,"Daphne, AL"
METRO19300M19300,Fairhope,AL,847,762,773,749,723,"Fairhope, AL"
METRO19300M19300,Foley,AL,847,762,773,749,723,"Foley, AL"
METRO11500M11500,Anniston,AL,474,511,513,531,549,"Anniston, AL"
METRO11500M11500,Oxford,AL,474,511,513,531,549,"Oxford, AL"
METRO11500M11500,Jacksonville,AL,474,511,513,531,549,"Jacksonville, AL"
METRO13820N01021,Chilton County,AL,538,551,549,627,625,"Chilton County, AL"
METRO23460M23460,Gadsden,AL,545,497,500,527,560,"Gadsden, AL"
METRO20020N01067,Henry County,AL,538,554,549,520,532,"Henry County, AL"
METRO20020M20020,Dothan,AL,511,535,519,506,547,"Dothan, AL"
METRO22520M22520,Florence,AL,532,529,534,565,580,"Florence, AL"
METRO22520M22520,Muscle Shoals,AL,532,529,534,565,580,"Muscle Shoals, AL"
METRO12220M12220,Auburn,AL,600,633,627,623,625,"Auburn, AL"
METRO12220M12220,Opelika,AL,600,633,627,623,625,"Opelika, AL"
METRO26620M26620,Huntsville,AL,620,603,685,660,690,"Huntsville, AL"
METRO33660M33660,Mobile,AL,732,683,681,699,658,"Mobile, AL"
METRO33860M33860,Montgomery,AL,682,691,696,702,766,"Montgomery, AL"
METRO19460M19460,Decatur,AL,515,523,528,546,574,"Decatur, AL"
METRO46220N01107,Pickens County,AL,467,456,481,489,493,"Pickens County, AL"
METRO17980M17980,Columbus,AL,648,685,714,670,717,"Columbus, AL"
METRO13820M13820,Birmingham,AL,751,768,763,861,871,"Birmingham, AL"
METRO13820M13820,Hoover,AL,751,768,763,861,871,"Hoover, AL"
METRO46220M46220,Tuscaloosa,AL,643,660,705,737,695,"Tuscaloosa, AL"
METRO13820N01127,Walker County,AL,519,505,502,570,549,"Walker County, AL"
METRO11260M11260,Anchorage,AK,1018,1035,1005,991,926,"Anchorage, AK"
METRO21820M21820,Fairbanks,AK,953,1029,1025,1006,987,"Fairbanks, AK"
METRO11260N02170,Matanuska,AK,783,835,815,792,775,"Matanuska, AK"
METRO11260N02170,Susitna Borough,AK,783,835,815,792,775,"Susitna Borough, AK"
METRO43420M43420,Sierra Vista,AZ,598,621,642,658,667,"Sierra Vista, AZ"
METRO43420M43420,Douglas,AZ,598,621,642,658,667,"Douglas, AZ"
METRO22380M22380,Flagstaff,AZ,835,920,1007,1024,1062,"Flagstaff, AZ"
METRO29420M29420,Lake Havasu City,AZ,602,626,615,698,725,"Lake Havasu City, AZ"
METRO29420M29420,Kingman,AZ,602,626,615,698,725,"Kingman, AZ"
METRO46060M46060,Tucson,AZ,652,642,683,721,728,"Tucson, AZ"
METRO38060M38060,Phoenix,AZ,757,815,868,958,1032,"Phoenix, AZ"
METRO38060M38060,Mesa,AZ,757,815,868,958,1032,"Mesa, AZ"
METRO38060M38060,Scottsdale,AZ,757,815,868,958,1032,"Scottsdale, AZ"
METRO39140M39140,Prescott,AZ,688,670,724,781,822,"Prescott, AZ"
METRO49740M49740,Yuma,AZ,655,601,603,621,705,"Yuma, AZ"
METRO27860MM3700,Jonesboro,AR,607,613,609,628,631,"Jonesboro, AR"
METRO32820M32820,Memphis,AR,707,705,742,755,784,"Memphis, AR"
METRO26300M26300,Hot Springs,AR,576,580,587,586,606,"Hot Springs, AR"
METRO30780N05053,Grant County,AR,539,566,609,608,648,"Grant County, AR"
METRO38220M38220,Pine Bluff,AR,509,537,545,541,553,"Pine Bluff, AR"
METRO45500N05081,Little River County,AR,460,476,491,478,496,"Little River County, AR"
METRO45500M45500,Texarkana,AR,573,627,625,624,658,"Texarkana, AR"
METRO27860N05111,Poinsett County,AR,493,476,491,478,496,"Poinsett County, AR"
METRO30780M30780,Little Rock,AR,673,676,702,688,735,"Little Rock, AR"
