"city, state",ds,y
"Daphne, AL",2017,1422
"Fairhope, AL",2017,1422
"Foley, AL",2017,1422
"Anniston, AL",2017,818
"Oxford, AL",2017,818
"Jacksonville, AL",2017,818
"Chilton County, AL",2017,904
"Gadsden, AL",2017,896
"Henry County, AL",2017,784
"Dothan, AL",2017,883
"Florence, AL",2017,897
"Muscle Shoals, AL",2017,897
"Auburn, AL",2017,1075
"Opelika, AL",2017,1075
"Huntsville, AL",2017,1014
"Mobile, AL",2017,1163
"Montgomery, AL",2017,1054
"Decatur, AL",2017,852
"Pickens County, AL",2017,853
"Columbus, AL",2017,1082
"Birmingham, AL",2017,1163
"Hoover, AL",2017,1163
"Tuscaloosa, AL",2017,1004
"Walker County, AL",2017,847
"Anchorage, AK",2017,1882
"Fairbanks, AK",2017,1844
"Matanuska, AK",2017,1515
"Susitna Borough, AK",2017,1515
"Sierra Vista, AZ",2017,1060
"Douglas, AZ",2017,1060
"Flagstaff, AZ",2017,1309
"Lake Havasu City, AZ",2017,1092
"Kingman, AZ",2017,1092
"Tucson, AZ",2017,1262
"Phoenix, AZ",2017,1374
"Mesa, AZ",2017,1374
"Scottsdale, AZ",2017,1374
"Prescott, AZ",2017,1312
"Yuma, AZ",2017,1266
"Jonesboro, AR",2017,1009
"Memphis, AR",2017,1137
"Hot Springs, AR",2017,963
"Grant County, AR",2017,905
"Pine Bluff, AR",2017,824
"Little River County, AR",2017,764
"Texarkana, AR",2017,920
"Poinsett County, AR",2017,866
"Little Rock, AR",2017,1096
"North Little Rock, AR",2017,1096
"Conway, AR",2017,1096
"Fort Smith, AR",2017,901
"Fayetteville, AR",2017,1079
"Springdale, AR",2017,1079
"Rogers, AR",2017,1079
"Chico, CA",2017,1344
"Oakland, CA",2017,3017
"Fremont, CA",2017,3017
"Fresno, CA",2017,1258
"El Centro, CA",2017,1123
"Bakersfield, CA",2017,1222
"Hanford, CA",2017,1133
"Corcoran, CA",2017,1133
"Los Angeles, CA",2017,2079
"Long Beach, CA",2017,2079
"Glendale, CA",2017,2079
"Madera, CA",2017,1278
"Merced, CA",2017,1125
"Salinas, CA",2017,2063
"Napa, CA",2017,2326
"Santa Ana, CA",2017,2531
"Anaheim, CA",2017,2531
"Irvine, CA",2017,2531
"Sacramento, CA",2017,1508
"Roseville, CA",2017,1508
", CA",2017,1508
"Arden, CA",2017,1508
"Arcade, CA",2017,1508
"San Benito County, CA",2017,2169
"Riverside, CA",2017,1682
"San Bernardino, CA",2017,1682
"Ontario, CA",2017,1682
"San Diego, CA",2017,2507
"Carlsbad, CA",2017,2507
"Stockton, CA",2017,1408
"Lodi, CA",2017,1408
"San Luis Obispo, CA",2017,1906
"Paso Robles, CA",2017,1906
"Arroyo Grande, CA",2017,1906
"San Francisco, CA",2017,3927
"Santa Maria, CA",2017,2128
"Santa Barbara, CA",2017,2128
"San Jose, CA",2017,3078
"Sunnyvale, CA",2017,3078
"Santa Clara, CA",2017,3078
"Santa Cruz, CA",2017,2425
"Watsonville, CA",2017,2425
"Redding, CA",2017,1298
"Vallejo, CA",2017,1884
"Fairfield, CA",2017,1884
"Santa Rosa, CA",2017,2288
"Modesto, CA",2017,1340
