2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31
1026.0,1018.0,1064.0,1135.0,1285.0,1353.0,1502.0,1676.0,1513.0,1636.0,1784.0,1959.0,1796.0,1918.0,2067.0
852.0,889.0,929.0,973.0,1033.0,1070.0,1124.0,1180.0,1201.0,1251.0,1305.0,1361.0,1382.0,1432.0,1486.0
573.0,562.0,557.0,557.0,571.0,575.0,593.0,616.0,561.0,573.0,591.0,614.0,559.0,571.0,589.0
570.0,545.0,529.0,521.0,524.0,530.0,548.0,573.0,476.0,485.0,502.0,528.0,431.0,440.0,457.0
1022.0,1029.0,1041.0,1058.0,1070.0,1105.0,1136.0,1171.0,1127.0,1153.0,1183.0,1219.0,1175.0,1201.0,1231.0
1002.0,947.0,928.0,947.0,986.0,1096.0,1225.0,1392.0,986.0,1079.0,1209.0,1375.0,970.0,1063.0,1192.0
1263.0,1317.0,1343.0,1342.0,1390.0,1256.0,1171.0,1059.0,1440.0,1383.0,1298.0,1186.0,1567.0,1510.0,1425.0
1279.0,1333.0,1454.0,1562.0,1592.0,1778.0,1885.0,1992.0,2030.0,2137.0,2244.0,2351.0,2389.0,2496.0,2603.0
1279.0,1271.0,1269.0,1266.0,1345.0,1256.0,1249.0,1242.0,1338.0,1332.0,1326.0,1319.0,1414.0,1408.0,1402.0
2324.0,2285.0,2242.0,2195.0,2264.0,2087.0,2027.0,1962.0,2082.0,2026.0,1966.0,1902.0,2022.0,1966.0,1905.0
1054.0,1014.0,1011.0,1044.0,1086.0,1219.0,1361.0,1538.0,1145.0,1251.0,1393.0,1570.0,1177.0,1283.0,1425.0
2324.0,2285.0,2242.0,2195.0,2264.0,2087.0,2027.0,1962.0,2082.0,2026.0,1966.0,1902.0,2022.0,1966.0,1905.0
2324.0,2285.0,2242.0,2195.0,2264.0,2087.0,2027.0,1962.0,2082.0,2026.0,1966.0,1902.0,2022.0,1966.0,1905.0
888.0,885.0,878.0,866.0,911.0,828.0,803.0,773.0,871.0,850.0,825.0,796.0,894.0,873.0,847.0
1341.0,1377.0,1387.0,1370.0,1475.0,1256.0,1160.0,1038.0,1460.0,1391.0,1295.0,1173.0,1595.0,1525.0,1429.0
907.0,971.0,998.0,961.0,1003.0,762.0,602.0,401.0,939.0,819.0,658.0,457.0,995.0,876.0,715.0
1088.0,1070.0,1149.0,1193.0,1236.0,1279.0,1322.0,1363.0,1413.0,1456.0,1498.0,1540.0,1589.0,1633.0,1675.0
1106.0,1209.0,1248.0,1191.0,1283.0,887.0,640.0,331.0,1182.0,998.0,751.0,442.0,1294.0,1110.0,863.0
1298.0,1382.0,1509.0,1679.0,1754.0,2147.0,2444.0,2783.0,2348.0,2603.0,2900.0,3239.0,2803.0,3058.0,3356.0
2531.0,2627.0,2862.0,3099.0,3228.0,3560.0,3782.0,3995.0,4171.0,4399.0,4621.0,4835.0,5010.0,5238.0,5460.0
1883.0,1945.0,1899.0,1884.0,1746.0,1839.0,1806.0,1766.0,1691.0,1666.0,1634.0,1593.0,1518.0,1493.0,1461.0
989.0,988.0,1008.0,1050.0,1039.0,1198.0,1304.0,1431.0,1163.0,1248.0,1354.0,1481.0,1213.0,1298.0,1404.0
901.0,987.0,1020.0,1010.0,1092.0,889.0,776.0,630.0,1126.0,1048.0,936.0,789.0,1286.0,1208.0,1095.0
1408.0,1485.0,1499.0,1446.0,1593.0,1196.0,1000.0,757.0,1472.0,1323.0,1128.0,885.0,1600.0,1451.0,1256.0
826.0,871.0,898.0,908.0,944.0,875.0,833.0,773.0,1019.0,994.0,951.0,892.0,1138.0,1113.0,1070.0
1620.0,1642.0,1721.0,1715.0,1771.0,1694.0,1677.0,1655.0,1756.0,1743.0,1726.0,1704.0,1805.0,1792.0,1775.0
1099.0,1125.0,1135.0,1129.0,1104.0,1071.0,1019.0,952.0,1113.0,1076.0,1024.0,957.0,1118.0,1081.0,1029.0
1225.0,1259.0,1271.0,1261.0,1298.0,1174.0,1097.0,998.0,1301.0,1247.0,1170.0,1071.0,1374.0,1320.0,1243.0
1509.0,1580.0,1765.0,1946.0,2140.0,2306.0,2483.0,2659.0,2871.0,3050.0,3227.0,3402.0,3614.0,3793.0,3971.0
1509.0,1580.0,1765.0,1946.0,2140.0,2306.0,2483.0,2659.0,2871.0,3050.0,3227.0,3402.0,3614.0,3793.0,3971.0
568.0,568.0,574.0,584.0,597.0,621.0,647.0,678.0,628.0,649.0,675.0,706.0,656.0,677.0,703.0
2324.0,2285.0,2242.0,2195.0,2264.0,2087.0,2027.0,1962.0,2082.0,2026.0,1966.0,1902.0,2022.0,1966.0,1905.0
