2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31
566.0,566.0,598.0,632.0,708.0,679.0,694.0,702.0,851.0,872.0,886.0,894.0,1043.0,1064.0,1079.0
419.0,455.0,491.0,527.0,546.0,600.0,637.0,674.0,691.0,728.0,765.0,802.0,819.0,856.0,892.0
357.0,342.0,365.0,363.0,381.0,346.0,337.0,326.0,356.0,348.0,338.0,328.0,358.0,349.0,340.0
346.0,312.0,334.0,327.0,337.0,284.0,261.0,236.0,262.0,240.0,216.0,191.0,217.0,195.0,172.0
516.0,538.0,527.0,557.0,566.0,617.0,647.0,677.0,687.0,717.0,747.0,777.0,788.0,817.0,847.0
583.0,556.0,556.0,602.0,625.0,754.0,860.0,985.0,768.0,854.0,960.0,1085.0,868.0,954.0,1060.0
690.0,701.0,768.0,747.0,810.0,358.0,166.0,-24.0,20.0,-174.0,-366.0,-556.0,-512.0,-706.0,-898.0
557.0,584.0,646.0,721.0,795.0,924.0,1051.0,1196.0,1060.0,1170.0,1297.0,1442.0,1307.0,1417.0,1544.0
558.0,558.0,564.0,571.0,622.0,574.0,568.0,560.0,665.0,663.0,658.0,649.0,754.0,753.0,748.0
1457.0,1459.0,1456.0,1446.0,1514.0,1408.0,1380.0,1346.0,1486.0,1464.0,1436.0,1402.0,1542.0,1520.0,1493.0
595.0,537.0,500.0,517.0,541.0,618.0,700.0,804.0,569.0,630.0,713.0,816.0,582.0,643.0,725.0
1441.0,1505.0,1416.0,1458.0,1514.0,1520.0,1540.0,1554.0,1696.0,1723.0,1744.0,1757.0,1899.0,1927.0,1947.0
1440.0,1504.0,1416.0,1457.0,1513.0,1861.0,2074.0,2296.0,2288.0,2493.0,2706.0,2928.0,2920.0,3125.0,3338.0
456.0,478.0,492.0,496.0,520.0,476.0,452.0,419.0,555.0,540.0,517.0,484.0,620.0,605.0,581.0
659.0,668.0,737.0,694.0,789.0,614.0,577.0,541.0,612.0,573.0,535.0,499.0,570.0,531.0,494.0
553.0,585.0,600.0,561.0,575.0,430.0,338.0,229.0,454.0,380.0,288.0,179.0,404.0,330.0,238.0
522.0,520.0,551.0,596.0,629.0,780.0,917.0,1085.0,749.0,856.0,994.0,1162.0,826.0,933.0,1071.0
527.0,608.0,670.0,684.0,750.0,654.0,609.0,543.0,850.0,825.0,780.0,714.0,1021.0,996.0,950.0
637.0,670.0,720.0,788.0,839.0,975.0,1094.0,1230.0,1075.0,1177.0,1296.0,1433.0,1278.0,1380.0,1499.0
1258.0,1294.0,1416.0,1563.0,1678.0,1940.0,2168.0,2421.0,2216.0,2417.0,2645.0,2899.0,2693.0,2895.0,3123.0
888.0,923.0,932.0,936.0,877.0,930.0,920.0,906.0,902.0,897.0,887.0,873.0,870.0,864.0,855.0
483.0,485.0,504.0,541.0,558.0,665.0,753.0,858.0,670.0,741.0,829.0,933.0,746.0,817.0,904.0
538.0,570.0,568.0,573.0,624.0,587.0,596.0,605.0,647.0,654.0,662.0,671.0,713.0,720.0,729.0
798.0,876.0,900.0,900.0,1029.0,860.0,819.0,764.0,1056.0,1029.0,988.0,934.0,1226.0,1199.0,1158.0
446.0,460.0,467.0,468.0,482.0,447.0,426.0,398.0,497.0,483.0,462.0,434.0,534.0,520.0,499.0
987.0,913.0,883.0,897.0,939.0,1086.0,1259.0,1484.0,895.0,1015.0,1188.0,1414.0,825.0,945.0,1118.0
462.0,560.0,566.0,599.0,593.0,660.0,689.0,718.0,723.0,753.0,783.0,812.0,817.0,847.0,877.0
629.0,647.0,653.0,648.0,684.0,601.0,560.0,507.0,685.0,656.0,614.0,562.0,740.0,710.0,669.0
720.0,758.0,854.0,953.0,1061.0,1159.0,1268.0,1380.0,1452.0,1557.0,1665.0,1777.0,1849.0,1954.0,2062.0
720.0,758.0,854.0,953.0,1061.0,1159.0,1268.0,1380.0,1452.0,1557.0,1665.0,1777.0,1849.0,1954.0,2062.0
324.0,319.0,360.0,376.0,385.0,412.0,431.0,449.0,451.0,469.0,487.0,506.0,508.0,526.0,544.0
1457.0,1459.0,1456.0,1446.0,1514.0,1408.0,1380.0,1346.0,1486.0,1464.0,1436.0,1402.0,1542.0,1520.0,1493.0
1441.0,1505.0,1416.0,1458.0,1514.0,1520.0,1540.0,1554.0,1696.0,1723.0,1744.0,1757.0,1899.0,1927.0,1947.0
672.0,736.0,755.0,838.0,902.0,1105.0,1237.0,1368.0,1445.0,1578.0,1709.0,1840.0,1918.0,2050.0,2182.0
1440.0,1504.0,1416.0,1457.0,1513.0,1861.0,2074.0,2296.0,2288.0,2493.0,2706.0,2928.0,2920.0,3125.0,3338.0
489.0,479.0,472.0,485.0,515.0,518.0,539.0,565.0,558.0,577.0,598.0,623.0,617.0,635.0,657.0
887.0,972.0,1060.0,1154.0,1166.0,1367.0,1486.0,1613.0,1525.0,1636.0,1755.0,1882.0,1794.0,1905.0,2024.0
709.0,656.0,794.0,1040.0,1097.0,1734.0,2183.0,2699.0,1939.0,2321.0,2770.0,3285.0,2526.0,2907.0,3356.0
465.0,469.0,510.0,554.0,554.0,644.0,690.0,737.0,728.0,774.0,820.0,867.0,858.0,903.0,950.0
466.0,469.0,510.0,553.0,554.0,650.0,702.0,757.0,724.0,774.0,826.0,881.0,848.0,897.0,950.0
465.0,469.0,510.0,554.0,554.0,644.0,690.0,737.0,728.0,774.0,820.0,867.0,858.0,903.0,950.0
