,Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url,id
0,Senior Accountant,Juice Generation,"New York, NY",12 days ago,2021-03-23,"Lead monthly financial reviews with senior operations team.
Assist in the annual review process with external firm.
Bachelor’s degree in Accounting.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bi-5CQquOZTqmyEimDJBNcBWnpgMujUg8xT5LcFJhBGBe3WQpTBLr6DfxWqLWhBjtfIDhNQHFXaWI0on-fRcjx7MbNuXpuzGHeSn7JpuGylbWbszEJ9-T2TzpijP6zegbuihU7r54rmumrlZwxbEcME3aRWf4xs7JE4qfmfArnjYiGwWAXCdmk453JkSOnjCOfaSS9M7c0gu06l1k5bViNr3MCx_t0VkE_mkk8ZuuSwB5cdwW4pnB-aMv7M_PN3OzD7V5y6CHhPbWZGoMxsfJgKiZ2FPO517hwkmWXO-dgdpIvjc1LflXtGQCLJErcRRhmNmJVyG8jOwqWb2xMqcITU638s5A5bPmDWH85yM7JIubBxzKKjuV2UJjEkc7LIn2hBndYBVRkI6YxKNIZTh2kk0ZMhLzS5ZlpjZBTTgWyawVHyTLpSxbguYqLCI3LvY0vayKHpG_MQSspAijcfUQR&p=0&fvj=1&vjs=3,0
1,Senior Accountant,Quality Branded,"New York, NY",30+ days ago,2021-03-23,"Prepare sales tax and commercial rent tax schedules and file tax payments monthly and quarterly.
Perform the reconciliation of bank accounts and credit card…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D99gI1XJg_GMoUcn54cXo4g5bXz-pkVE046ORhrmNjwDnnCWDys6Lu4eiQgNXPyhjDhihmTlDOtcCxWfzbq4Ik3EEO9sE88MPNZuiB1xkPipE6htOv07I3yiWWcr_yY68_0KWDsvn9_u57KTSghKFK7o4nx1k8TcE_RhypoXXZC0JzD5MDclfQhjt8WUZ1EboppXNfP3YAaUCpL_-U1ytqdqgKqA8Qi1-1G8msSXpE_ystH7CXFt4iptzSl9vIdbT8AtACmt14-3AJ89RC_Jf2NosvxFWpE0Q1XJP5s-FjxqyHMsu7F3FD-EMncjCSnh9q8TMMG7IB-g_z4Id_5xlu3tDnA0nAgEVpj-lpqiTuFf10cZnhFUw0RvhDmgsdsjL1tCLrQMTavfRQz8r-WClrGhjEy5GWVhI7FdkW5WSYPzNJsW5Dr2gng58RDXzY9QGG5uRp-dTfs6ceBA7bOUie&p=1&fvj=1&vjs=3,1
2,Real Estate Senior Accountant,Confidential Real Estate Investment Company privately owned,"New York, NY",6 days ago,2021-03-23,"Accounts Payable – code, post and pay all vendor bills, including payment of property real estate taxes, writing/printing manual and computer checks.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAzFkv4M0p_YowhXyk77TKcZ14obE_jZ_DVNfoeWqjgpshXEVak2UcZvyooE7lb6NPPKYQAxl2qCFuo9FPhddYuwQFyKwnBDBA0qGO7Af7-h5JxOr2dc_0sW8NLARNIwYtM3DY-x1A0GVf47EdCm7yleF9HK6L-umMJSlbWVRiQlcQMz46GKs_HbzcGEw0bz14IzYoFIKvZPrDKVeE_vMN8WqNDnKdsB_J64IkwPMnRCb5Ct935XzLnZrfCFNZ7ma_hx0hxbNXYG-fnASPlF3CykgMx9H6woreqPXgx8j2nbwtYYA0m_fYeFUGslzM-CE_EJWulz7b6FXYE5QWN1LHB3RwFl_1SJA2O1I9Xre0jz8Cbxfbm4GOTPO4xeLEd86Q3iWHFqxq-vsMQHVQgJ7gfYV6wTI3nxFRYSa71JDTRXRvO2UIWE6ro9UvGKTVX9oZ-TMLrn0obdTl1xMHSbwMAeVyQVjEZwc=&p=2&fvj=1&vjs=3,2
3,Senior Fund Accountant OR Assistant Controller,Large Hedge and Private Equity Fund,"New York, NY",30+ days ago,2021-03-23,"Review the portfolio companies to be acquired acquiring.
Records the journal entries for management fees, investments, accruals, other expense/income, valuation…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2fBwIYhLX4r0C6A88f364H1rwUTQ-tkZvyqI1v8WDLLnX39X6BpFNT0US53ROuDgXNGi-Z4K_VMR7oInGMsP9GBSdNmsnUejpflM4HUkguvuNwFGafF3IVxRuVJTkgFiAOpcQ5xK2ThcoIXUsRscoscnX3lGW75IEDsH3V18E-KP_sFChtw6MSfSexvNDduQ_4iFHxduRc4PqGS20oCU-8z6G7Ca0XIYcoV3zsuKdsbD18Ee3owESJ2F3X1BSJu_TcDsqS9LLuKhgHb3z11_rh279aiHoXlYE-xXvzZLjiG0ho03dXvvKk-XpwbJJj_ohh9QrmpeXTounU5R_8VSxWH3V-Lo8nrfDIQQBiMZOdHPRh7aZYPg9DwriDIGbNXPriYkkCXt_V0KlxwrjLaQXXKDbzf-hQCnNZxkTUNlXsacncpvNzrQfzNrolJAD5uosOmpzAd0hf1-okXaBHd0o6ixU5ljkKaNgfmdkkOyd18AK2mz5cbAPvwRC_YF0HdA=&p=3&fvj=1&vjs=3,3
4,Senior Accountant,Apifiny,"New York, NY",13 days ago,2021-03-23,"Review month-end journal entries, balance sheet reconciliations, and supporting schedules.
To unify global trading and settlement systems and remove barriers of…",,https://www.indeed.com/company/55-Global-Markets/jobs/Senior-Accountant-830d7707e8dc1647?fccid=848ee06863a4d7cd&vjs=3,4
5,Senior Accountant,Northwell health,"Westbury, NY",11 days ago,2021-03-23,Acquires in-depth knowledge of accounting software system to provide instruction and direction to co-workers to facilitate implementation of proper procedures;…,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZWWK9Dkq8A_dUHCdj_uLeVWsWS91-0wEhlKVHwzSsO8rbL6Nho0VUrRbtCkMJTO-OJGvJIr_BD7Sd1Bt82AO_M7lg5_hZ6j_cJ7MKZPIVy5hUcjWs_3r9fHCecTduq14HzIVylxg9eExiEBM4Ew1k22rj2H5LvSULpsZGVzWWwHutmZFBspoPVTw-4ZumtAFrG7ady2kduopsTAwdaf5Lk9u2USA3QH5eqbuUGKZuZGbfMkqDhxvgQprgMc6VRgm2m3q0j4l30H3xSHAELgn_a1L8EAQ1N6OWuTHsmdAChgc72c_X3Dx-Goijabtr2TMIkun9CHSe-Jhr5D-SttV8MpE9c9JZLqUs5cNQTSTN57-hhAwwV_IXdIRai9ubCkfyDBwBc6ekjlWQlijTEgKC6IU9obXtJP_1VVYwNbaRbGKI7uiLlVuMwhg3kKV0hnsZ15LuqFBgJZfMY6GGEeldtf0rv4wNepWjDsRCf5Rwt46VTifvqsI_b00usp_tl8095bHBVVk2qdYPEF44EebS-JSmo7z9AJfU0iTh5CaICIZqmHQwsXK47lEQv5Xu8mmymj38JjXXpV5zqdMTIVUsNiYA5BBFz5jEUYS8xGNQLoBTzPWll080e9Q7VQTVN0iM7d-aOP77wIppcrmyGaZdhIRByHe9awt4Km2_ULqlq6C3OBO_x4x5zHxZ1z30R_lSrmqBXYgi40GLNejKof9ed-XTJkBx6w2fWgaJxgDETJI1XcG1lqiMdWYCDB7Vfpp-SF0NDKwBTVqM3q_XrdhcciHQdMbR-2quHRMt2_dOxR74YRYjH4fNNbUswX2mk9J_mIELjmVwHxdBarH_v0rPUzEef-MjNZjFmyVZ2RzcY95Hv7a1Bsp6QXhGB0fKjRhWEKuKAE79uJ_VPoG2M47mrgrtN8dUP6nAbPhyfe9yH5XWaTE7obWgS7K1-RJkCWckHX0gJb8n1i0mpoEjkRorP9wejV5QZWEByUF_23qITRYlip8TVk7c_TQLM77MKOVjxvsqyPLrt5404btJS9TwiAYqZ9rHkb4AEhp3QDc_3td6YTGAgPI-GNcDhalMZj0Tz-t0cz78V4FCrmyeTNU7M7YEXovN3ZCO-0Qu6HWS5f3wkBmwBi1V&p=5&fvj=0&vjs=3,5
6,Senior Accountant,Aura,"New York, NY",13 days ago,2021-03-23,"Will be assigned accounting, bookkeeping, and tax preparation tasks encompassing Billing, A/R, A/P, GL, and Revenue Recognition currently being completed by an…",,https://www.indeed.com/rc/clk?jk=5bcb2ba2d4da6bbe&fccid=67395a226c46feed&vjs=3,6
7,Senior Property Accountant,Cohen Brothers Realty Corporation,"New York, NY",Today,2021-03-23,"Review and analyze general ledgers for respective properties, process journal entries, calculate monthly accruals and update supporting balance sheet account…",,https://www.indeed.com/company/Cohen-Brothers-Realty-Corporation/jobs/Senior-Property-Accountant-54bcf629890270f7?fccid=60ccaeb73820bbc3&vjs=3,7
8,Senior Accountant,The Brotherhood/Sister Sol,"New York, NY",5 days ago,2021-03-23,"Accounts Payable: Input and pay invoices, credit card statements, receipts, and reimbursements - reconcile vendor statements and vendors management.",,https://www.indeed.com/rc/clk?cmp=The-Brotherhood%2FSister-Sol&ti=Senior+Accountant&jk=67df282e88df9790&fccid=71172852c61d93cd&vjs=3,8
9,Senior Accountant*,The New Jewish Home,"New York, NY",6 days ago,2021-03-23,"This position will be required to work on site.
The Senior Accountant for The New Jewish Home performs professional accounting duties related to all matters…",,https://www.indeed.com/rc/clk?jk=bc1d58e860babb17&fccid=0ec270cde28eeb64&vjs=3,9
